id	description	type
1159743	Terrestrial.	habitat
1159744	Terrestrial.	habitat
1159745	Terrestrial.	habitat
1159746	Terrestrial.	habitat
1159747	Terrestrial.	habitat
1159748	Terrestrial.	habitat
1159749	Terrestrial.	habitat
1159750	Terrestrial.	habitat
1159751	Terrestrial.	habitat
1159752	Terrestrial.	habitat
1159753	Terrestrial.	habitat
1159754	Terrestrial.	habitat
1159755	Terrestrial.	habitat
1159756	Terrestrial.	habitat
1159757	Terrestrial.	habitat
1159758	Terrestrial.	habitat
1159759	Terrestrial.	habitat
1159760	Terrestrial.	habitat
1159761	Terrestrial.	habitat
1159762	Terrestrial.	habitat
1159763	Terrestrial.	habitat
1159764	Terrestrial.	habitat
1159765	Terrestrial.	habitat
1159766	Terrestrial.	habitat
1159767	Terrestrial.	habitat
1159768	Terrestrial.	habitat
1159769	Terrestrial.	habitat
1159770	Terrestrial.	habitat
1159771	Terrestrial.	habitat
1159772	Terrestrial.	habitat
1159773	Terrestrial.	habitat
1159774	Terrestrial.	habitat
1159775	Terrestrial.	habitat
1159776	Terrestrial.	habitat
1159777	Terrestrial.	habitat
1159778	Terrestrial.	habitat
1159779	Terrestrial.	habitat
1159780	Terrestrial.	habitat
1159781	Terrestrial.	habitat
1159782	Terrestrial.	habitat
1159783	Terrestrial.	habitat
1159784	Terrestrial.	habitat
1159785	Terrestrial.	habitat
1159786	Terrestrial.	habitat
1159787	Terrestrial.	habitat
1159788	Terrestrial.	habitat
1159789	Terrestrial.	habitat
1159790	Terrestrial.	habitat
1159791	Terrestrial.	habitat
1159792	Terrestrial.	habitat
1159793	Terrestrial.	habitat
1159794	Terrestrial.	habitat
1159795	Terrestrial.	habitat
1159796	Terrestrial.	habitat
1159797	Terrestrial.	habitat
1159798	Terrestrial.	habitat
1159799	Terrestrial.	habitat
1159800	Terrestrial.	habitat
1159801	Terrestrial.	habitat
1159802	Terrestrial.	habitat
1159803	Terrestrial.	habitat
1159804	Terrestrial.	habitat
1159805	Terrestrial.	habitat
1159806	Terrestrial.	habitat
1159807	Terrestrial.	habitat
1159808	Terrestrial.	habitat
1159809	Terrestrial.	habitat
1159810	Terrestrial.	habitat
1159811	Terrestrial.	habitat
1159812	Terrestrial.	habitat
1159813	Terrestrial.	habitat
1159814	Terrestrial.	habitat
1159815	Terrestrial.	habitat
1159816	Terrestrial.	habitat
1159817	Terrestrial.	habitat
1159818	Terrestrial.	habitat
1159819	Terrestrial.	habitat
1159820	Terrestrial.	habitat
1159821	Terrestrial.	habitat
1159822	Terrestrial.	habitat
1159823	Terrestrial.	habitat
1159824	Terrestrial.	habitat
1159825	Terrestrial.	habitat
1159826	Terrestrial.	habitat
1159827	Terrestrial.	habitat
1159828	Terrestrial.	habitat
1159829	Terrestrial.	habitat
1159830	Terrestrial.	habitat
1159831	Terrestrial.	habitat
1159832	Terrestrial.	habitat
1159833	Terrestrial.	habitat
1159834	Terrestrial.	habitat
1159835	Terrestrial.	habitat
1159836	Terrestrial.	habitat
1159837	Terrestrial.	habitat
1159838	Terrestrial.	habitat
1159839	Terrestrial.	habitat
1159840	Terrestrial.	habitat
1159841	Terrestrial.	habitat
1159842	Terrestrial.	habitat
1159843	Terrestrial.	habitat
1159844	Terrestrial.	habitat
1159845	Terrestrial.	habitat
1159846	Terrestrial.	habitat
1159847	Terrestrial.	habitat
1159848	Terrestrial.	habitat
1159849	Terrestrial.	habitat
1159850	Terrestrial.	habitat
1159851	Terrestrial.	habitat
1159852	Terrestrial.	habitat
1159853	Terrestrial.	habitat
1159854	Terrestrial.	habitat
1159855	Terrestrial.	habitat
1159856	Terrestrial.	habitat
1159857	Terrestrial.	habitat
1159858	Terrestrial.	habitat
1159859	Terrestrial.	habitat
1159860	Terrestrial.	habitat
1159861	Terrestrial.	habitat
1159862	Terrestrial.	habitat
