log.tsv|version1
source_name	source_qid	parity	target_name	target_qid	target_uid	reason	witness	
Bacteria	trunk:07fe5571-8649-4657-88dc-e0c32f2fea95	=>	Bacteria	trunk:07fe5571-8649-4657-88dc-e0c32f2fea95	-8461	new/import	null
Bacteria	PHA:1202154	not=>	Bacteria	trunk:07fe5571-8649-4657-88dc-e0c32f2fea95	-8461	not-same/ranks	genus|domain
Bacteria	PHA:1202154	=>	Bacteria	PHA:1202154	-677237	new/import	null
Bacteria	WOR:6	not=>	Bacteria	PHA:1202154	-677237	not-same/ranks	kingdom|genus
Bacteria	WOR:6	=>	Bacteria	trunk:07fe5571-8649-4657-88dc-e0c32f2fea95	-8461	same/overlaps	Thermodesulfobacteriaceae|Montanoa
Blaberidae	BLA:1172575	=>	Blaberidae	BLA:1172575	-580687	reject/absorbed	null
Trigonidiini	ORTH:1126891	-		null	-	sibling-sink mismatch	null
Trigonidiini	ORTH:1126891	=>	Trigonidiini	ORTH:1126891	-677359	reject/absorbed	null
Jurocallis longipes	APH:1159042	=>	Jurocallis longipes	APH:1159042	-628523	new/import	null
Tyto capensis	IOC:2bebab1948f124e3a3acf793dbe781a3	=>	Tyto capensis	IOC:2bebab1948f124e3a3acf793dbe781a3	-824499	new/import	null
Zorotypus machadoi	ZOR:1218781	=>	Zorotypus machadoi	ZOR:1218781	-626391	new/import	null
Ectobiidae	BLA:1174509	=>	Ectobiidae	BLA:1174509	-580835	reject/absorbed	null
Turanoderma sepultum	DER:1179465	=>	Turanoderma sepultum	DER:1179465	-645733	new/import	null
Vossiini	ORTH:1221084	=>	Vossiini	ORTH:1221084	-580993	new/refinement	null
Koeniginirmus	WOR:385086	=>	Koeniginirmus	WOR:385086	-600528	new/import	null
		-	Koeniginirmus	WOR:385086	-600528	move to parent of former container, instead of to container	null
Eucestoda	WOR:104909	=>	Eucestoda	WOR:104909	-180670	new/refinement	null
		-	Eucestoda	WOR:104909	-180670	rank inversion	null
Tettigoniidae	ORTH:1132213	=>	Tettigoniidae	ORTH:1132213	-645630	new/refinement	null
Tettigoniidae	WOR:426335	=>	Tettigoniidae	ORTH:1132213	-645630	same/parent+parent	Orthoptera|Orthoptera
Saxifragella	TPL:T14816	=>	Saxifragella	TPL:T14816	-348604	new/import	null
Thermodesulfobacteria	trunk:7eff8fce-60c1-4807-bfd4-1f4af8a90106	=>	Thermodesulfobacteria	trunk:7eff8fce-60c1-4807-bfd4-1f4af8a90106	-10744	new/import	null
Thermodesulfobacteria	trunk:6439b0aa-82f1-408d-8415-97a2c7a0c0da	=>	Thermodesulfobacteria	trunk:6439b0aa-82f1-408d-8415-97a2c7a0c0da	-10373	new/import	null
Thermodesulfobacteria	WOR:567371	-	Thermodesulfobacteria	trunk:6439b0aa-82f1-408d-8415-97a2c7a0c0da	-10373	noinfo	null
Thermodesulfobacteria	WOR:567371	-	Thermodesulfobacteria	trunk:7eff8fce-60c1-4807-bfd4-1f4af8a90106	-10744	noinfo	null
Thermodesulfobacteria	WOR:567371	-		null	-	ambiguous internal	2
Thermodesulfobacteria	WOR:567370	-	Thermodesulfobacteria	trunk:6439b0aa-82f1-408d-8415-97a2c7a0c0da	-10373	noinfo	null
Thermodesulfobacteria	WOR:567370	-	Thermodesulfobacteria	trunk:7eff8fce-60c1-4807-bfd4-1f4af8a90106	-10744	noinfo	null
Thermodesulfobacteria	WOR:567370	-		null	-	ambiguous internal	2
Thermodesulfobacteria	WOR:567371	=>	Thermodesulfobacteria	WOR:567371	-11451	reject/absorbed	null
Thermodesulfobacteria	WOR:567370	=>	Thermodesulfobacteria	WOR:567370	-11452	reject/absorbed	null
		-	Thermodesulfobacteria	WOR:567370	-11452	rank inversion	null
Plinthisus (Nanoplinthisus) nudus	LYG:1212433	=>	Plinthisus (Nanoplinthisus) nudus	LYG:1212433	-701946	new/import	null
Zorotypus (Octozoros)	ZOR:1218733	=>	Zorotypus (Octozoros)	ZOR:1218733	-599170	new/import	null
Parapsocida	PSO:1223091	=>	Parapsocida	PSO:1223091	-419460	new/import	null
Vossiina	ORTH:1221085	-		null	-	sibling-sink mismatch	null
Vossiina	ORTH:1221085	=>	Vossiina	ORTH:1221085	-595149	reject/absorbed	null
Nilomantis edmundsi	MNT:1183070	=>	Nilomantis edmundsi	MNT:1183070	-642389	new/import	null
Palaeoscapteriscops	ORTH:1128742	=>	Palaeoscapteriscops	ORTH:1128742	-677327	new/import	null
Asienthomidae	PSO:1223092	=>	Asienthomidae	PSO:1223092	-584079	new/import	null
Timema californicum	PHA:1203883	=>	Timema californicum	PHA:1203883	-676872	new/import	null
Awightipsocus	PSO:1222965	=>	Awightipsocus	PSO:1222965	-419462	new/import	null
Epaphrodita lobivertex	MNT:1182659	=>	Epaphrodita lobivertex	MNT:1182659	-592959	new/import	null
Semenoviola	DER:1181601	=>	Semenoviola	DER:1181601	-626217	new/import	null
Zorotypus (Zorotypus) delamarei	ZOR:1218750	=>	Zorotypus (Zorotypus) delamarei	ZOR:1218750	-626388	new/import	null
Burmantis lebanensis	MNT:1186150	=>	Burmantis lebanensis	MNT:1186150	-592961	new/import	null
Elusimicrobia	trunk:07a9ef01-3694-4ee8-813f-8e51b238a4c0	=>	Elusimicrobia	trunk:07a9ef01-3694-4ee8-813f-8e51b238a4c0	-10775	new/import	null
Elusimicrobia	trunk:e4b636f0-aa58-4667-bfa5-9e45bd376df1	=>	Elusimicrobia	trunk:e4b636f0-aa58-4667-bfa5-9e45bd376df1	-10392	new/import	null
Elusimicrobia	WOR:571255	-	Elusimicrobia	trunk:07a9ef01-3694-4ee8-813f-8e51b238a4c0	-10775	noinfo	null
Elusimicrobia	WOR:571255	-	Elusimicrobia	trunk:e4b636f0-aa58-4667-bfa5-9e45bd376df1	-10392	noinfo	null
Elusimicrobia	WOR:571255	-		null	-	ambiguous internal	2
Elusimicrobia	WOR:571254	-	Elusimicrobia	trunk:07a9ef01-3694-4ee8-813f-8e51b238a4c0	-10775	noinfo	null
Elusimicrobia	WOR:571254	-	Elusimicrobia	trunk:e4b636f0-aa58-4667-bfa5-9e45bd376df1	-10392	noinfo	null
Elusimicrobia	WOR:571254	-		null	-	ambiguous internal	2
Elusimicrobia	WOR:571255	=>	Elusimicrobia	WOR:571255	-11510	reject/absorbed	null
Elusimicrobia	WOR:571254	=>	Elusimicrobia	WOR:571254	-11511	reject/absorbed	null
		-	Elusimicrobia	WOR:571254	-11511	rank inversion	null
Miotroctes	PSO:1199170	=>	Miotroctes	PSO:1199170	-419461	new/import	null
Metoligotoma anomala	EMB:1171914	=>	Metoligotoma anomala	EMB:1171914	-598343	new/import	null
Streblus sikokuensis	WOR:919878	=>	Streblus sikokuensis	WOR:919878	-26	new/import	null
Timema ritensis	PHA:1203899	=>	Timema ritensis	PHA:1203899	-676873	new/import	null
Myctophiformes	trunk:6fdd2c8c-888c-4b5a-845b-ca4b8823d602	=>	Myctophiformes	trunk:6fdd2c8c-888c-4b5a-845b-ca4b8823d602	-660586	new/import	null
		-	Myctophiformes	trunk:6fdd2c8c-888c-4b5a-845b-ca4b8823d602	-660586	rank inversion	null
Myctophiformes	WOR:10309	=>	Myctophiformes	trunk:6fdd2c8c-888c-4b5a-845b-ca4b8823d602	-660586	same/ancestor+parent	Actinopterygii|Teleostei
Tanzaniophasma subsolana	MAN:1220589	=>	Tanzaniophasma subsolana	MAN:1220589	-620506	new/import	null
Dendrochirotida	WOR:123111	=>	Dendrochirotida	WOR:123111	-39566	new/refinement	null
Metoligotoma convergens	EMB:1171916	=>	Metoligotoma convergens	EMB:1171916	-598346	new/import	null
Raptophasma	MAN:1220585	=>	Raptophasma	MAN:1220585	-592724	new/import	null
Erianthinae	ORTH:1118145	-		null	-	sibling-sink mismatch	null
Erianthinae	ORTH:1118145	=>	Erianthinae	ORTH:1118145	-664050	reject/absorbed	null
Protoperlina	GRY:1219996	-		null	-	sibling-sink mismatch	null
Protoperlina	GRY:1219996	=>	Protoperlina	GRY:1219996	-419181	reject/absorbed	null
Echinocyamidae	WOR:510679	-		null	-	sibling-sink mismatch	null
Echinocyamidae	WOR:510679	=>	Echinocyamidae	WOR:510679	-382505	reject/absorbed	null
Oiophysella constans	COL:1171598	=>	Oiophysella constans	COL:1171598	-651300	new/import	null
Pyrodictiaceae	trunk:158665d7-7973-4ed5-af88-0a8e5d932376	=>	Pyrodictiaceae	trunk:158665d7-7973-4ed5-af88-0a8e5d932376	-12481	new/import	null
Pyrodictiaceae	WOR:573334	=>	Pyrodictiaceae	trunk:158665d7-7973-4ed5-af88-0a8e5d932376	-12481	lumped	null
Sinolabia longyouensis	DER:1180909	=>	Sinolabia longyouensis	DER:1180909	-581807	new/import	null
Blatta caraibea	BLA:1179268	=>	Blatta caraibea	BLA:1179268	-580838	new/import	null
Echinoneidae	WOR:196234	-		null	-	sibling-sink mismatch	null
Echinoneidae	WOR:196234	=>	Echinoneidae	WOR:196234	-150170	reject/absorbed	null
Burmantis	MNT:1186148	=>	Burmantis	MNT:1186148	-580616	new/import	null
Pholidota	trunk:44c0fffb-1330-4beb-970f-83e9c22b00f8	=>	Pholidota	trunk:44c0fffb-1330-4beb-970f-83e9c22b00f8	-710260	new/import	null
Pholidota	TPL:T12776	not=>	Pholidota	trunk:44c0fffb-1330-4beb-970f-83e9c22b00f8	-710260	not-same/ranks	genus|order
Pholidota	TPL:T12776	=>	Pholidota	TPL:T12776	-208724	new/import	null
Asienthomum praecox	PSO:1223094	=>	Asienthomum praecox	PSO:1223094	-626944	new/import	null
Zorotypus (Octozoros) nascimbenei	ZOR:1218738	=>	Zorotypus (Octozoros) nascimbenei	ZOR:1218738	-626385	new/import	null
Pterygota	trunk:fa2fcee5-5e29-4d86-a478-28060f286801	=>	Pterygota	trunk:fa2fcee5-5e29-4d86-a478-28060f286801	-153536	new/import	null
Pterygota	WOR:151152	not=>	Pterygota	trunk:fa2fcee5-5e29-4d86-a478-28060f286801	-153536	not-same/ranks	subclass|genus
Pterygota	WOR:151152	=>	Pterygota	WOR:151152	-214877	reject/inconsistent	null
		-	Pterygota	WOR:151152	-214877	rank inversion	null
Gleicheniaceae	PPG:Pteridophyte-Phylogeny-Group1-93	=>	Gleicheniaceae	PPG:Pteridophyte-Phylogeny-Group1-93	-85361	new/import	null
Gleicheniaceae	TPL:T512	=>	Gleicheniaceae	PPG:Pteridophyte-Phylogeny-Group1-93	-85361	same/is-subsumed-by	null
Timema monikensis	PHA:1203892	=>	Timema monikensis	PHA:1203892	-676875	new/import	null
Tanzaniophasma	MAN:1220581	=>	Tanzaniophasma	MAN:1220581	-592723	new/import	null
Nummulina djokdjokertae	WOR:901471	=>	Nummulina djokdjokertae	WOR:901471	-31	new/import	null
Thrinchinae	ORTH:1117310	=>	Thrinchinae	ORTH:1117310	-664087	reject/inconsistent	null
Permedax	GRY:1219986	=>	Permedax	GRY:1219986	-419183	new/import	null
Aspidogastrea	WOR:103973	=>	Aspidogastrea	WOR:103973	-180671	new/refinement	null
		-	Aspidogastrea	WOR:103973	-180671	rank inversion	null
Delaya navarrensis	EET:EOL-Earthworm-Patch-1872	=>	Delaya navarrensis	EET:EOL-Earthworm-Patch-1872	-181777	new/import	null
Tarachodini	MNT:1185171	-		null	-	sibling-sink mismatch	null
Tarachodini	MNT:1185171	=>	Tarachodini	MNT:1185171	-620693	reject/absorbed	null
Actinobacteria	trunk:861183ef-48d2-48c8-891d-556c4dbed66e	=>	Actinobacteria	trunk:861183ef-48d2-48c8-891d-556c4dbed66e	-10745	new/import	null
Actinobacteria	trunk:06075375-d7d2-4331-afee-8269352078f7	=>	Actinobacteria	trunk:06075375-d7d2-4331-afee-8269352078f7	-10374	new/import	null
Actinobacteria	WOR:559510	-	Actinobacteria	trunk:06075375-d7d2-4331-afee-8269352078f7	-10374	noinfo	null
Actinobacteria	WOR:559510	-	Actinobacteria	trunk:861183ef-48d2-48c8-891d-556c4dbed66e	-10745	noinfo	null
Actinobacteria	WOR:559510	-		null	-	ambiguous internal	2
Actinobacteria	WOR:178057	-	Actinobacteria	trunk:06075375-d7d2-4331-afee-8269352078f7	-10374	noinfo	null
Actinobacteria	WOR:178057	-	Actinobacteria	trunk:861183ef-48d2-48c8-891d-556c4dbed66e	-10745	noinfo	null
Actinobacteria	WOR:178057	-		null	-	ambiguous internal	2
Actinobacteria	WOR:559510	=>	Actinobacteria	WOR:559510	-11463	reject/absorbed	null
Actinobacteria	WOR:178057	=>	Actinobacteria	WOR:178057	-11464	reject/absorbed	null
		-	Actinobacteria	WOR:178057	-11464	rank inversion	null
Sylvaclinicus echinatus	GRY:1220010	=>	Sylvaclinicus echinatus	GRY:1220010	-582044	new/import	null
Tyto rosenbergii rosenbergii	IOC:9bfd583a18ff662812e43985153148c5	=>	Tyto rosenbergii rosenbergii	IOC:9bfd583a18ff662812e43985153148c5	-830175	new/import	null
Phaneropterinae	ORTH:1135953	=>	Phaneropterinae	ORTH:1135953	-663846	reject/inconsistent	null
Goniocotes	PSO:1224348	=>	Goniocotes	PSO:1224348	-600525	new/import	null
Goniocotes	WOR:385083	-		null	-	promoted/internal	Philopteridae
		-	Goniocotes	PSO:1224348	-600525	move to parent of former container, instead of to container	null
Esthiopterum	PSO:1224328	=>	Esthiopterum	PSO:1224328	-600522	new/import	null
Esthiopterum	WOR:385079	-		null	-	promoted/internal	Philopteridae
		-	Esthiopterum	PSO:1224328	-600522	move to parent of former container, instead of to container	null
Platycleidini	ORTH:1142085	=>	Platycleidini	ORTH:1142085	-677831	reject/inconsistent	null
Mutusca prolixa	COR:1186557	=>	Mutusca prolixa	COR:1186557	-702630	new/import	null
Marciperla curta	PLE:1152753	=>	Marciperla curta	PLE:1152753	-582074	new/import	null
Apium graveolens	TPL:kew-2644053	=>	Apium graveolens	TPL:kew-2644053	-504294	new/import	null
Apium graveolens	TPL:kew-2644054	=>	Apium graveolens	TPL:kew-2644054	-504299	new/import	null
Apium graveolens	WOR:426131	-	Apium graveolens	TPL:kew-2644053	-504294	noinfo	null
Apium graveolens	WOR:426131	-	Apium graveolens	TPL:kew-2644054	-504299	noinfo	null
Apium graveolens	WOR:426131	-		null	-	ambiguous tip	2
Stenocoris (Stenocoris) v-nigrum	COR:1186576	=>	Stenocoris (Stenocoris) v-nigrum	COR:1186576	-723774	new/import	null
Petascelini	COR:1189585	-		null	-	sibling-sink mismatch	null
Petascelini	COR:1189585	=>	Petascelini	COR:1189585	-670451	reject/absorbed	null
Acidilobales	trunk:e2bf575d-0c18-4387-90e1-45a0ff985754	=>	Acidilobales	trunk:e2bf575d-0c18-4387-90e1-45a0ff985754	-11433	new/import	null
Acidilobales	WOR:573324	=>	Acidilobales	trunk:e2bf575d-0c18-4387-90e1-45a0ff985754	-11433	same/parent+parent	Thermoprotei|Thermoprotei
Leguminosae	TPL:T103	=>	Leguminosae	TPL:T103	-753408	reject/inconsistent	null
Degeeriella	PSO:1224306	=>	Degeeriella	PSO:1224306	-600520	new/import	null
Degeeriella	WOR:385077	-		null	-	promoted/internal	Philopteridae
		-	Degeeriella	PSO:1224306	-600520	move to parent of former container, instead of to container	null
Bdelloidea	trunk:5a05401e-9044-41ef-b0ba-cee8a1b4c191	=>	Bdelloidea	trunk:5a05401e-9044-41ef-b0ba-cee8a1b4c191	-421925	new/import	null
Bdelloidea	trunk:df98f01e-4de5-497b-9306-349555e441aa	=>	Bdelloidea	trunk:df98f01e-4de5-497b-9306-349555e441aa	-123860	new/import	null
Bdelloidea	WOR:17968	-	Bdelloidea	trunk:5a05401e-9044-41ef-b0ba-cee8a1b4c191	-421925	noinfo/lineage	Rotifera|Prostigmata
Bdelloidea	WOR:17968	=>	Bdelloidea	trunk:df98f01e-4de5-497b-9306-349555e441aa	-123860	same/parent+parent	Rotifera|Rotifera
Bdelloidea	WOR:762069	-	Bdelloidea	trunk:df98f01e-4de5-497b-9306-349555e441aa	-123860	noinfo/lineage	Prostigmata|Rotifera
Bdelloidea	WOR:762069	=>	Bdelloidea	trunk:5a05401e-9044-41ef-b0ba-cee8a1b4c191	-421925	same/parent+parent	Prostigmata|Prostigmata
Aphidioides succifera	APH:1159021	=>	Aphidioides succifera	APH:1159021	-628522	new/import	null
Appendicularia	trunk:9d7c12a6-cb6e-403b-9788-a7fbeb964528	=>	Appendicularia	trunk:9d7c12a6-cb6e-403b-9788-a7fbeb964528	-31265	new/import	null
Appendicularia	TPL:T1862	not=>	Appendicularia	trunk:9d7c12a6-cb6e-403b-9788-a7fbeb964528	-31265	not-same/ranks	genus|class
Appendicularia	TPL:T1862	=>	Appendicularia	TPL:T1862	-392157	new/import	null
Appendicularia	WOR:103357	not=>	Appendicularia	trunk:9d7c12a6-cb6e-403b-9788-a7fbeb964528	-31265	not-same/ranks	genus|class
Appendicularia	WOR:103357	=>	Appendicularia	TPL:T1862	-392157	same/primary-name	Appendicularia
Appendicularia	WOR:146421	not=>	Appendicularia	TPL:T1862	-392157	not-same/ranks	class|genus
Appendicularia	WOR:146421	=>	Appendicularia	trunk:9d7c12a6-cb6e-403b-9788-a7fbeb964528	-31265	same/parent+parent	Tunicata|Tunicata
Sylvaclinicus	GRY:1219985	=>	Sylvaclinicus	GRY:1219985	-419186	new/import	null
Cucumariidae	WOR:123187	-		null	-	sibling-sink mismatch	null
Cucumariidae	WOR:123187	=>	Cucumariidae	WOR:123187	-65691	reject/absorbed	null
Diels	PPG:Pteridophyte-Phylogeny-Group1-95	=>	Diels	PPG:Pteridophyte-Phylogeny-Group1-95	-135493	new/import	null
Heterochaetella	EET:EOL-Earthworm-Patch-1898	=>	Heterochaetella	EET:EOL-Earthworm-Patch-1898	-125167	new/import	null
Heterochaetella	EET:EOL-Earthworm-Patch-3565	=>	Heterochaetella	EET:EOL-Earthworm-Patch-3565	-181653	new/import	null
Hemiuroidea	WOR:108418	=>	Hemiuroidea	WOR:108418	-335647	reject/inconsistent	null
Delaya bureschi	EET:EOL-Earthworm-Patch-1868	=>	Delaya bureschi	EET:EOL-Earthworm-Patch-1868	-181776	new/import	null
Tyto multipunctata	IOC:fc0e04bc82a8063e4773cd57ecfb8418	=>	Tyto multipunctata	IOC:fc0e04bc82a8063e4773cd57ecfb8418	-824500	new/import	null
Compositae	TPL:T101	=>	Compositae	TPL:T101	-783620	reject/inconsistent	null
Compositae	WOR:867905	=>	Compositae	TPL:T101	-783620	same/primary-name	Compositae
Canaphis albertensis	APH:1159016	=>	Canaphis albertensis	APH:1159016	-628524	new/import	null
Glyphocyphidae	WOR:510727	-		null	-	sibling-sink mismatch	null
Glyphocyphidae	WOR:510727	=>	Glyphocyphidae	WOR:510727	-328534	reject/absorbed	null
Hemiowoodwardia	COL:1171583	=>	Hemiowoodwardia	COL:1171583	-628577	new/import	null
Characiphysae	trunk:5925858f-7c0a-4bd6-bd23-3c288ab42d42	=>	Characiphysae	trunk:5925858f-7c0a-4bd6-bd23-3c288ab42d42	-620480	new/import	null
		-	Characiphysae	trunk:5925858f-7c0a-4bd6-bd23-3c288ab42d42	-620480	rank inversion	null
Oxyothespinae	MNT:1184627	=>	Oxyothespinae	MNT:1184627	-593014	new/refinement	null
Sulfolobales	trunk:19e3881d-3fb8-4111-be09-e344d27eef5a	=>	Sulfolobales	trunk:19e3881d-3fb8-4111-be09-e344d27eef5a	-11432	new/import	null
Sulfolobales	WOR:559454	=>	Sulfolobales	trunk:19e3881d-3fb8-4111-be09-e344d27eef5a	-11432	same/parent+parent	Thermoprotei|Thermoprotei
Tyto aurantia	IOC:abc391fa4086e6f18568b6913f9cb18a	=>	Tyto aurantia	IOC:abc391fa4086e6f18568b6913f9cb18a	-824503	new/import	null
Muelleriella	TPL:T10943	=>	Muelleriella	TPL:T10943	-204553	new/import	null
Muelleriella	WOR:771279	=>	Muelleriella	TPL:T10943	-204553	lumped	null
Muelleriella	WOR:602540	=>	Muelleriella	TPL:T10943	-204553	same/primary-name	Muelleriella
Muelleriella	WOR:602540	=>	Muelleriella	TPL:T10943	-204553	lumped	null
Oliva circinata tostesi	WOR:448062	=>	Oliva circinata tostesi	WOR:448062	-24	new/import	null
Pseudotrocha	WOR:368541	=>	Pseudotrocha	WOR:368541	-229182	reject/absorbed	null
		-	Pseudotrocha	WOR:368541	-229182	rank inversion	null
Stromatopteris	PPG:Pteridophyte-Phylogeny-Group1-99	=>	Stromatopteris	PPG:Pteridophyte-Phylogeny-Group1-99	-135495	new/import	null
Archaeogryllotalpoides ornatus	ORTH:1128745	=>	Archaeogryllotalpoides ornatus	ORTH:1128745	-692253	new/import	null
Timema coffmani	PHA:1203885	=>	Timema coffmani	PHA:1203885	-676882	new/import	null
Libellulidae	trunk:f01c411c-63da-423b-a0f0-a9d883628c6c	=>	Libellulidae	trunk:f01c411c-63da-423b-a0f0-a9d883628c6c	-419542	new/import	null
Libellulidae	WOR:404098	=>	Libellulidae	trunk:f01c411c-63da-423b-a0f0-a9d883628c6c	-419542	lumped	null
Dryopteridacae	TPL:T645	=>	Dryopteridacae	TPL:T645	-259101	reject/absorbed	null
Anura	trunk:6527b635-082d-4a45-bf06-7610708705c9	=>	Anura	trunk:6527b635-082d-4a45-bf06-7610708705c9	-329005	new/import	null
Anura	TPL:T1772	not=>	Anura	trunk:6527b635-082d-4a45-bf06-7610708705c9	-329005	not-same/ranks	genus|order
Anura	TPL:T1772	=>	Anura	TPL:T1772	-782028	new/import	null
Anura	WOR:448306	not=>	Anura	TPL:T1772	-782028	not-same/ranks	order|genus
Anura	WOR:448306	=>	Anura	trunk:6527b635-082d-4a45-bf06-7610708705c9	-329005	same/parent+parent	Tetrapoda|Tetrapoda
Crangonyctidira	WOR:720160	=>	Crangonyctidira	WOR:720160	-585718	new/import	null
		-	Crangonyctidira	WOR:720160	-585718	rank inversion	null
Polystemma	TPL:T13391	=>	Polystemma	TPL:T13391	-416266	new/import	null
Polystemma	WOR:176906	=>	Polystemma	TPL:T13391	-416266	lumped	null
Lemmatophorina	GRY:1219997	-		null	-	sibling-sink mismatch	null
Lemmatophorina	GRY:1219997	=>	Lemmatophorina	GRY:1219997	-419143	reject/absorbed	null
Margattea minuta	BLA:1179261	=>	Margattea minuta	BLA:1179261	-580840	new/import	null
Hemiodoecus leai	COL:1171582	=>	Hemiodoecus leai	COL:1171582	-651297	new/import	null
Blattellinae	BLA:1174511	-		null	-	sibling-sink mismatch	null
Blattellinae	BLA:1174511	=>	Blattellinae	BLA:1174511	-580764	reject/absorbed	null
Marchandiinae	ORTH:1128741	=>	Marchandiinae	ORTH:1128741	-663755	new/import	null
Paleognathae	trunk:3f2181a8-9ce2-4963-8991-e7c1f1bec190	=>	Paleognathae	trunk:3f2181a8-9ce2-4963-8991-e7c1f1bec190	-2	new/import	null
Paleognathae	IOC:2b4e5e944dabbf41930904d59ab8feb3	=>	Paleognathae	trunk:3f2181a8-9ce2-4963-8991-e7c1f1bec190	-2	same/primary-name	Paleognathae
Marchandia magnifica	ORTH:1128747	=>	Marchandia magnifica	ORTH:1128747	-692255	new/import	null
Potamogeton filiformis	TPL:kew-308563	=>	Potamogeton filiformis	TPL:kew-308563	-280061	new/import	null
Potamogeton filiformis	TPL:kew-308564	=>	Potamogeton filiformis	TPL:kew-308564	-280073	new/import	null
Potamogeton filiformis	WOR:558769	-	Potamogeton filiformis	TPL:kew-308563	-280061	noinfo	null
Potamogeton filiformis	WOR:558769	-	Potamogeton filiformis	TPL:kew-308564	-280073	noinfo	null
Potamogeton filiformis	WOR:558769	-		null	-	ambiguous tip	2
Lophotrochozoa	trunk:7e391b0d-0363-4460-8b06-f8e7a9e09d85	=>	Lophotrochozoa	trunk:7e391b0d-0363-4460-8b06-f8e7a9e09d85	-1	new/import	null
Micrelytrinae	COR:1186515	=>	Micrelytrinae	COR:1186515	-651098	new/refinement	null
Juramantophasma	MAN:1220689	=>	Juramantophasma	MAN:1220689	-592725	new/import	null
Zorotypus (Octozoros) acanthothorax	ZOR:1218737	=>	Zorotypus (Octozoros) acanthothorax	ZOR:1218737	-626387	new/import	null
Moreauiidae	trunk:8ebe283c-cb9e-46e2-aaf7-3440f28c3883	=>	Moreauiidae	trunk:8ebe283c-cb9e-46e2-aaf7-3440f28c3883	-335537	new/import	null
Moreauiidae	WOR:731136	=>	Moreauiidae	trunk:8ebe283c-cb9e-46e2-aaf7-3440f28c3883	-335537	lumped	null
Tyto soumagnei	IOC:9692d45833a25240182ce9cb92f7415e	=>	Tyto soumagnei	IOC:9692d45833a25240182ce9cb92f7415e	-824504	new/import	null
Mesonotoperla sinuata	PLE:1152782	=>	Mesonotoperla sinuata	PLE:1152782	-582076	new/import	null
Nitrospira	trunk:5361fb20-0654-4709-9376-e87a468b6873	=>	Nitrospira	trunk:5361fb20-0654-4709-9376-e87a468b6873	-10925	new/import	null
Nitrospira	WOR:743074	not=>	Nitrospira	trunk:5361fb20-0654-4709-9376-e87a468b6873	-10925	not-same/ranks	genus|class
Nitrospira	WOR:571374	=>	Nitrospira	trunk:5361fb20-0654-4709-9376-e87a468b6873	-10925	same/parent+parent	Nitrospirae|Nitrospirae
Nitrospira	WOR:743074	=>	Nitrospira	WOR:743074	-15251	new/import	null
Chlamydiae	trunk:4ec0dd50-bbbb-44a5-a949-af81631d99e6	=>	Chlamydiae	trunk:4ec0dd50-bbbb-44a5-a949-af81631d99e6	-10776	new/import	null
Chlamydiae	trunk:e26678a0-c1e4-4639-80d9-2f4003b8588d	=>	Chlamydiae	trunk:e26678a0-c1e4-4639-80d9-2f4003b8588d	-10393	new/import	null
Chlamydiae	WOR:564164	-	Chlamydiae	trunk:4ec0dd50-bbbb-44a5-a949-af81631d99e6	-10776	noinfo	null
Chlamydiae	WOR:564164	-	Chlamydiae	trunk:e26678a0-c1e4-4639-80d9-2f4003b8588d	-10393	noinfo	null
Chlamydiae	WOR:564164	-		null	-	ambiguous internal	2
Chlamydiae	WOR:564164	=>	Chlamydiae	WOR:564164	-11514	reject/absorbed	null
		-	Chlamydiae	WOR:564164	-11514	rank inversion	null
Raptophasma groehni	MAN:1220601	=>	Raptophasma groehni	MAN:1220601	-620507	new/import	null
Craspedonirmus	PSO:1224296	=>	Craspedonirmus	PSO:1224296	-600524	new/import	null
Craspedonirmus	WOR:384799	-		null	-	promoted/internal	Philopteridae
		-	Craspedonirmus	PSO:1224296	-600524	move to parent of former container, instead of to container	null
Yontala camura	GRY:1220935	=>	Yontala camura	GRY:1220935	-582040	new/import	null
Hemiodoecus crassus	COL:1171581	=>	Hemiodoecus crassus	COL:1171581	-651296	new/import	null
Heterocheilidae	trunk:75acc2e8-5e02-4860-967a-161d4ad5f537	=>	Heterocheilidae	trunk:75acc2e8-5e02-4860-967a-161d4ad5f537	-646554	new/import	null
Heterocheilidae	trunk:7202fa6a-75e7-4f62-adb3-a9c0cca08e73	=>	Heterocheilidae	trunk:7202fa6a-75e7-4f62-adb3-a9c0cca08e73	-107354	new/import	null
Heterocheilidae	WOR:593484	-	Heterocheilidae	trunk:7202fa6a-75e7-4f62-adb3-a9c0cca08e73	-107354	noinfo/lineage	Sciomyzoidea|Spirurida
Heterocheilidae	WOR:593484	=>	Heterocheilidae	trunk:75acc2e8-5e02-4860-967a-161d4ad5f537	-646554	same/parent+parent	Sciomyzoidea|Sciomyzoidea
Heterocheilidae	WOR:458824	-	Heterocheilidae	trunk:7202fa6a-75e7-4f62-adb3-a9c0cca08e73	-107354	noinfo	null
Heterocheilidae	WOR:458824	-	Heterocheilidae	trunk:75acc2e8-5e02-4860-967a-161d4ad5f537	-646554	noinfo	null
Heterocheilidae	WOR:458824	-		null	-	ambiguous internal	2
Heterocheilidae	WOR:458824	=>	Heterocheilidae	WOR:458824	-107412	new/import	null
Plinthisus (Dasythisus) acanthothorax	LYG:1212415	=>	Plinthisus (Dasythisus) acanthothorax	LYG:1212415	-701941	new/import	null
