EOL-Earthworm-Patch-127	EOL-Earthworm-Patch-127	EOL-Earthworm-Patch-127	EOL-Earthworm-Patch-91	species	Chilota putablensis (Beddard, 1895)	accepted
EOL-Earthworm-Patch-128	EOL-Earthworm-Patch-128	EOL-Earthworm-Patch-128	EOL-Earthworm-Patch-91	species	Chilota quindecimus Pickford, 1937	accepted
EOL-Earthworm-Patch-129	EOL-Earthworm-Patch-129	EOL-Earthworm-Patch-129	EOL-Earthworm-Patch-91	species	Chilota simulans (Beddard, 1895)	accepted
EOL-Earthworm-Patch-130	EOL-Earthworm-Patch-130	EOL-Earthworm-Patch-130	EOL-Earthworm-Patch-91	species	Chilota sparensis Pickford, 1937	accepted
EOL-Earthworm-Patch-131	EOL-Earthworm-Patch-131	EOL-Earthworm-Patch-131	EOL-Earthworm-Patch-91	species	Chilota strandi Michaelsen, 1936	accepted
EOL-Earthworm-Patch-132	EOL-Earthworm-Patch-132	EOL-Earthworm-Patch-132	EOL-Earthworm-Patch-91	species	Chilota tenuis Pickford, 1937	accepted
EOL-Earthworm-Patch-133	EOL-Earthworm-Patch-133	EOL-Earthworm-Patch-133	EOL-Earthworm-Patch-91	species	Chilota valdiviensis (Beddard, 1895)	accepted
EOL-Earthworm-Patch-134	EOL-Earthworm-Patch-134	EOL-Earthworm-Patch-134	EOL-Earthworm-Patch-46	genus	Cubadrilus Rodriguez Aragones and Carlos, 2002	accepted
EOL-Earthworm-Patch-135	EOL-Earthworm-Patch-135	EOL-Earthworm-Patch-135	EOL-Earthworm-Patch-134	species	Cubadrilus barroi Rodriguez and Fragoso, 2002	accepted
EOL-Earthworm-Patch-136	EOL-Earthworm-Patch-136	EOL-Earthworm-Patch-136	EOL-Earthworm-Patch-134	species	Cubadrilus cavernicolus (Gates, 1962)	accepted
EOL-Earthworm-Patch-137	EOL-Earthworm-Patch-137	EOL-Earthworm-Patch-137	EOL-Earthworm-Patch-134	species	Cubadrilus cubitasensis Rodriguez and Fragoso, 2002	accepted
EOL-Earthworm-Patch-138	EOL-Earthworm-Patch-138	EOL-Earthworm-Patch-138	EOL-Earthworm-Patch-134	species	Cubadrilus morenoae (Rodriguez Aragones, 1995)	accepted
EOL-Earthworm-Patch-139	EOL-Earthworm-Patch-139	EOL-Earthworm-Patch-139	EOL-Earthworm-Patch-134	species	Cubadrilus righii Rodriguez and Fragoso, 2002	accepted
EOL-Earthworm-Patch-140	EOL-Earthworm-Patch-140	EOL-Earthworm-Patch-140	EOL-Earthworm-Patch-134	species	Cubadrilus siboney (Rodriguez Aragones, 1995)	accepted
EOL-Earthworm-Patch-141	EOL-Earthworm-Patch-141	EOL-Earthworm-Patch-141	EOL-Earthworm-Patch-134	species	Cubadrilus taina (Rodriguez and Fragoso, 1995)	accepted
EOL-Earthworm-Patch-142	EOL-Earthworm-Patch-142	EOL-Earthworm-Patch-142	EOL-Earthworm-Patch-46	genus	Dashiella Julka, 1988	accepted
EOL-Earthworm-Patch-143	EOL-Earthworm-Patch-143	EOL-Earthworm-Patch-143	EOL-Earthworm-Patch-142	species	Dashiella khandalaensis Julka, 1988	accepted
EOL-Earthworm-Patch-144	EOL-Earthworm-Patch-144	EOL-Earthworm-Patch-144	EOL-Earthworm-Patch-46	genus	Decachaetus Lee, 1959	accepted
EOL-Earthworm-Patch-145	EOL-Earthworm-Patch-145	EOL-Earthworm-Patch-145	EOL-Earthworm-Patch-144	species	Decachaetus minor Lee, 1959	accepted
EOL-Earthworm-Patch-146	EOL-Earthworm-Patch-146	EOL-Earthworm-Patch-146	EOL-Earthworm-Patch-144	species	Decachaetus violaceus Lee, 1959	accepted
EOL-Earthworm-Patch-147	EOL-Earthworm-Patch-147	EOL-Earthworm-Patch-147	EOL-Earthworm-Patch-46	genus	Deinodrilus Beddard, 1889	accepted
EOL-Earthworm-Patch-148	EOL-Earthworm-Patch-148	EOL-Earthworm-Patch-148	EOL-Earthworm-Patch-147	species	Deinodrilus agilis Lee, 1952	accepted
EOL-Earthworm-Patch-149	EOL-Earthworm-Patch-149	EOL-Earthworm-Patch-149	EOL-Earthworm-Patch-147	species	Deinodrilus benhami (Beddard, 1888)	accepted
