uid	|	name	|	type	|	rank	|	
1183389	|	Paula	|	synonym	|		|	
1183407	|	Memantis consobrina	|	synonym	|		|	
1183407	|	Memantis femorata	|	synonym	|		|	
1183427	|	Pseudoyersinia lindbergi	|	synonym	|		|	
1183431	|	Telomantis madagassica	|	synonym	|		|	
1183431	|	Telomantis usambarica	|	synonym	|		|	
1183436	|	Yersinia aztecus	|	synonym	|		|	
1183447	|	Phasmomantis longicollis	|	synonym	|		|	
1183449	|	Phasmomantis mexicana	|	synonym	|		|	
1183445	|	Tauromantis	|	synonym	|		|	
1183456	|	Stagmomantis conspersa	|	synonym	|		|	
1183456	|	Stagmomantis conspurcata	|	synonym	|		|	
1183456	|	Stagmomantis cuticularis	|	synonym	|		|	
1183456	|	Stagmomantis dimidiata	|	synonym	|		|	
1183456	|	Stagmomantis ferox	|	synonym	|		|	
1183456	|	Stagmomantis fuscata	|	synonym	|		|	
1183456	|	Stagmomantis inquinata	|	synonym	|		|	
1183456	|	Stagmomantis irrorata	|	synonym	|		|	
1183456	|	Stagmomantis maculosa	|	synonym	|		|	
1183456	|	Stagmomantis nordica	|	synonym	|		|	
1183456	|	Stagmomantis polita	|	synonym	|		|	
1183456	|	Stagmomantis americana	|	synonym	|		|	
1183456	|	Stagmomantis simplex	|	synonym	|		|	
1183456	|	Stagmomantis stolli	|	synonym	|		|	
1183456	|	Stagmomantis thoracica	|	synonym	|		|	
1183456	|	Stagmomantis wheelerii	|	synonym	|		|	
1183476	|	Stagmomantis albimaculata	|	synonym	|		|	
1183476	|	Stagmomantis cubaensis	|	synonym	|		|	
1183480	|	Stagmomantis latipennis	|	synonym	|		|	
1183485	|	Stagmomantis asteca	|	synonym	|		|	
1183485	|	Stagmomantis cellularis	|	synonym	|		|	
1183485	|	Stagmomantis viridimargo	|	synonym	|		|	
1183493	|	Stagmomantis montana cinctipes	|	synonym	|		|	
1183493	|	Stagmomantis montana androgyna	|	synonym	|		|	
1183493	|	Stagmomantis montana typhon	|	synonym	|		|	
1183499	|	Stagmomantis sancta	|	synonym	|		|	
1183503	|	Stagmomantis denticollis	|	synonym	|		|	
1183503	|	Stagmomantis denticulata	|	synonym	|		|	
1183503	|	Stagmomantis festae	|	synonym	|		|	
1183503	|	Stagmomantis insatiabilis	|	synonym	|		|	
1183509	|	Stagmomantis floridana	|	synonym	|		|	
1183511	|	Stagmomantis centralis	|	synonym	|		|	
1183511	|	Stagmomantis similis	|	synonym	|		|	
1183452	|	Auromantis	|	synonym	|		|	
1183452	|	Isomantis	|	synonym	|		|	
1183452	|	Leptococe	|	synonym	|		|	
1183452	|	Oromantis	|	synonym	|		|	
1183452	|	Stauromantis	|	synonym	|		|	
1183452	|	Uromantis	|	synonym	|		|	
1183589	|	Afrothespis dudleyi	|	synonym	|		|	
1183536	|	Angela fulgida	|	synonym	|		|	
1183541	|	Angela infuscata	|	synonym	|		|	
1183551	|	Angela versicolor	|	synonym	|		|	
1183553	|	Angela picta	|	synonym	|		|	
1183572	|	Leptocola lignea	|	synonym	|		|	
1183572	|	Leptocola tenuissima	|	synonym	|		|	
1183586	|	Stenopyga (Stenopyga) lobulipes	|	synonym	|		|	
1183584	|	Stenopyga Phitrus	|	synonym	|		|	
1183608	|	Antemna costaricensis	|	synonym	|		|	
1183608	|	Antemna laurifolia	|	synonym	|		|	
1183607	|	Neacromantis	|	synonym	|		|	
1183607	|	Phyllomantis	|	synonym	|		|	
1183622	|	Choeradodis brunneri	|	synonym	|		|	
1183622	|	Choeradodis peruviana	|	synonym	|		|	
1183622	|	Choeradodis servillei	|	synonym	|		|	
1183626	|	Choeradodis hyalina	|	synonym	|		|	
1183626	|	Choeradodis laticollis	|	synonym	|		|	
1183630	|	Choeradodis cancellata	|	synonym	|		|	
1183620	|	Craurusa	|	synonym	|		|	
1183640	|	Alphamantis	|	synonym	|		|	
1183651	|	Entella (Entella) gracilipes	|	synonym	|		|	
1183646	|	Entella Metentella	|	synonym	|		|	
1183646	|	Entella Micrentella	|	synonym	|		|	
1183646	|	Entella Ommatentella	|	synonym	|		|	
1183682	|	Entelloptera rogenhoferi werneri	|	synonym	|		|	
1183680	|	Pictomantis	|	synonym	|		|	
1183691	|	Ligaria brevicollis umtalica	|	synonym	|		|	
1183705	|	Ligaria fortis	|	synonym	|		|	
1183705	|	Ligaria jucunda	|	synonym	|		|	
1183686	|	Ligariona	|	synonym	|		|	
1183686	|	Pseudentella	|	synonym	|		|	
1183715	|	Ligariella fortis	|	synonym	|		|	
1183717	|	Ligariella damarae	|	synonym	|		|	
1183717	|	Ligariella pertinensis	|	synonym	|		|	
1183744	|	Deroplatys horrifica	|	synonym	|		|	
1183747	|	Deroplatys arida	|	synonym	|		|	
1183747	|	Deroplatys palliata	|	synonym	|		|	
1183751	|	Deroplatys brunneri	|	synonym	|		|	
1183759	|	Deroplatys shelfordi	|	synonym	|		|	
1183759	|	Deroplatys siccifolium	|	synonym	|		|	
1183768	|	Archimantis gigantea	|	synonym	|		|	
1183770	|	Archimantis fuscoelytris	|	synonym	|		|	
1183770	|	Archimantis latizonata	|	synonym	|		|	
1183774	|	Archimantis minor	|	synonym	|		|	
1183764	|	Rheomantis	|	synonym	|		|	
1183781	|	Austrovates lobata	|	synonym	|		|	
1183779	|	Heterarchimantis	|	synonym	|		|	
1183785	|	Coenomantis major	|	synonym	|		|	
1183785	|	Coenomantis melanoptera	|	synonym	|		|	
1183784	|	Thorodia	|	synonym	|		|	
1183818	|	Hierodula tertiata	|	synonym	|		|	
1183847	|	Hierodula inermis	|	synonym	|		|	
1183865	|	Hierodula birivia	|	synonym	|		|	
1183865	|	Hierodula veneratoria	|	synonym	|		|	
1183883	|	Hierodula bipapilla	|	synonym	|		|	
1183883	|	Hierodula dispar	|	synonym	|		|	
1183883	|	Hierodula manillana	|	synonym	|		|	
1183883	|	Hierodula manillensis	|	synonym	|		|	
1183883	|	Hierodula raptoria	|	synonym	|		|	
1183899	|	Hierodula sapitina	|	synonym	|		|	
1183908	|	Hierodula simulacrum	|	synonym	|		|	
1183910	|	Hierodula haani	|	synonym	|		|	
1183910	|	Hierodula valida	|	synonym	|		|	
1183924	|	Hierodula sternosticta biroi	|	synonym	|		|	
1183924	|	Hierodula sternosticta punctipectus	|	synonym	|		|	
1183933	|	Hierodula tenuidentata heterodera	|	synonym	|		|	
1183941	|	Hierodula arabica	|	synonym	|		|	
1183941	|	Hierodula dhufarica	|	synonym	|		|	
1183944	|	Hierodula notata	|	synonym	|		|	
1183946	|	Hierodula athene	|	synonym	|		|	
1183946	|	Hierodula bankae	|	synonym	|		|	
1183946	|	Hierodula conspurcata	|	synonym	|		|	
1183946	|	Hierodula daphne	|	synonym	|		|	
1183946	|	Hierodula hybrida	|	synonym	|		|	
1183946	|	Hierodula novemdentata	|	synonym	|		|	
1183946	|	Hierodula punctata	|	synonym	|		|	
1183946	|	Hierodula vitrea	|	synonym	|		|	
1183816	|	Ephierodula	|	synonym	|		|	
1183816	|	Parhierodula	|	synonym	|		|	
1183816	|	Rhomboderula	|	synonym	|		|	
1183977	|	Paramantis moesta	|	synonym	|		|	
1183983	|	Paramantis mitiana	|	synonym	|		|	
1183993	|	Rhombodera deflexa	|	synonym	|		|	
1184000	|	Rhombodera macropsis	|	synonym	|		|	
1184000	|	Rhombodera rhomboidalis	|	synonym	|		|	
1184007	|	Rhombodera javanica	|	synonym	|		|	
1184010	|	Rhombodera saussurii	|	synonym	|		|	
1184014	|	Rhombodera flava	|	synonym	|		|	
1184027	|	Rhombodera dubia	|	synonym	|		|	
1184029	|	Rhombodera rotunda	|	synonym	|		|	
1184053	|	Sphodromantis fulva	|	synonym	|		|	
1184053	|	Sphodromantis uebina	|	synonym	|		|	
1184056	|	Sphodromantis occidentalis	|	synonym	|		|	
1184056	|	Sphodromantis bicarinata	|	synonym	|		|	
1184056	|	Sphodromantis bioculata	|	synonym	|		|	
1184063	|	Sphodromantis gracilicollis gracilinota	|	synonym	|		|	
1184068	|	Sphodromantis christina	|	synonym	|		|	
1184089	|	Sphodromantis viridis bimaculata	|	synonym	|		|	
1184089	|	Sphodromantis viridis cavibrachia	|	synonym	|		|	
1184089	|	Sphodromantis viridis guttata	|	synonym	|		|	
1184089	|	Sphodromantis viridis vischeri	|	synonym	|		|	
1184121	|	Tarachomantis (Tarachomantis) brunneri	|	synonym	|		|	
1184121	|	Tarachomantis (Tarachomantis) roseinervis	|	synonym	|		|	
1184126	|	Tarachomantis (Tarachomantis) madecassa	|	synonym	|		|	
1184126	|	Tarachomantis (Tarachomantis) maculata	|	synonym	|		|	
1184121	|	Tarachomantis (Tarachomantis) malagassa	|	synonym	|		|	
1184171	|	Mantis religiosa maroccana	|	synonym	|		|	
1184171	|	Mantis religiosa radiata	|	synonym	|		|	
1184171	|	Mantis religiosa sancta	|	synonym	|		|	
1184187	|	Mantis cubitata	|	synonym	|		|	
1184187	|	Mantis ocellata	|	synonym	|		|	
1184187	|	Mantis subfoliata	|	synonym	|		|	
1184147	|	Mantes	|	synonym	|		|	
1184199	|	Omomantis pardalina	|	synonym	|		|	
1184199	|	Omomantis suavis	|	synonym	|		|	
1184206	|	Pseudomantis gracilis	|	synonym	|		|	
1184204	|	Austromantis	|	synonym	|		|	
1184221	|	Rhodomantis finoti	|	synonym	|		|	
1184216	|	Truxomantis	|	synonym	|		|	
1184226	|	Statilia guineensis	|	synonym	|		|	
1184231	|	Statilia maculata haani	|	synonym	|		|	
1184231	|	Statilia maculata hyalina	|	synonym	|		|	
1184236	|	Statilia infuscata	|	synonym	|		|	
1184236	|	Statilia nobilis	|	synonym	|		|	
1184236	|	Statilia orientalis	|	synonym	|		|	
1184249	|	Cataspilota truncatipennis	|	synonym	|		|	
1184249	|	Cataspilota westwoodi	|	synonym	|		|	
1184246	|	Calospilota	|	synonym	|		|	
1184271	|	Polyspilota aeruginosa adspersa	|	synonym	|		|	
1184271	|	Polyspilota aeruginosa catenata	|	synonym	|		|	
1184271	|	Polyspilota aeruginosa marginata	|	synonym	|		|	
1184271	|	Polyspilota aeruginosa nebulosa	|	synonym	|		|	
1184271	|	Polyspilota aeruginosa pustulata	|	synonym	|		|	
1184271	|	Polyspilota aeruginosa rubromaculata	|	synonym	|		|	
1184271	|	Polyspilota aeruginosa signata	|	synonym	|		|	
1184271	|	Polyspilota aeruginosa striata	|	synonym	|		|	
1184271	|	Polyspilota aeruginosa ugandanus	|	synonym	|		|	
1184271	|	Polyspilota aeruginosa varia	|	synonym	|		|	
1184271	|	Polyspilota aeruginosa vicina	|	synonym	|		|	
1184289	|	Polyspilota fallax	|	synonym	|		|	
1184315	|	Tenodera aridifolia japonica	|	synonym	|		|	
1184315	|	Tenodera aridifolia mandarinea	|	synonym	|		|	
1184321	|	Tenodera darchii	|	synonym	|		|	
1184321	|	Tenodera tessellata	|	synonym	|		|	
1184331	|	Tenodera fusca	|	synonym	|		|	
1184335	|	Tenodera fasciata attenuata	|	synonym	|		|	
1184335	|	Tenodera fasciata exsiccata	|	synonym	|		|	
1184335	|	Tenodera fasciata leptelytra	|	synonym	|		|	
1184354	|	Tenodera superstitiosa madagascariensis	|	synonym	|		|	
1184312	|	Epitenodera	|	synonym	|		|	
1184312	|	Paratenodera	|	synonym	|		|	
1184363	|	Cilnia cochlearis	|	synonym	|		|	
