id	bibliographicCitation	title	creator	date	source	type
1182282	Finot. 1895. Annls Soc. ent. Fr. 64:109		Finot	1895	Annls Soc. ent. Fr.	publication
1182282	Jacobson & Bianki. 1902. Prem. i Lozhn. Ross. Imp. 155		Jacobson & Bianki	1902	Prem. i Lozhn. Ross. Imp.	publication
1182282	Kirby. 1904. Syn. Cat. Orth. 1:315		Kirby	1904	Syn. Cat. Orth.	publication
1182282	Werner. 1905. Sber. Akad. Wiss. Wien 114:412		Werner	1905	Sber. Akad. Wiss. Wien	publication
1182282	Chopard. 1921. J. Bombay nat. Hist. Soc. 27:53		Chopard	1921	J. Bombay nat. Hist. Soc.	publication
1182282	Chopard. 1931. Bull. du Mus. 2e III(7):626		Chopard	1931	Bull. du Mus.	publication
1182282	Beier. 1934. Genera Insect. 197:7		Beier	1934	Genera Insect.	publication
1182282	Chopard. 1935. Mem. Acad. Sci. Inst. France 62:2		Chopard	1935	Mem. Acad. Sci. Inst. France	publication
1182282	Chopard. 1940. Rev. Fr. Ent. 7(1):23		Chopard	1940	Rev. Fr. Ent.	publication
1182282	Morales Agacino. 1945. Eos, Madr. 20:316		Morales Agacino	1945	Eos, Madr.	publication
1182282	Morales Agacino. 1947. Eos, Madr. 23:249		Morales Agacino	1947	Eos, Madr.	publication
1182282	Morales Agacino. 1948. Eos, Madr. 24:366		Morales Agacino	1948	Eos, Madr.	publication
1182282	Chopard. 1950. Mem. Inst. Fr. Afr. Noire 10:133		Chopard	1950	Mem. Inst. Fr. Afr. Noire	publication
1182282	Chopard. 1952. Bull. Inst. fond. Afr. noire 14:465		Chopard	1952	Bull. Inst. fond. Afr. noire	publication
1182282	Roy. 1968. Bull. Inst. fond. Afr. noire A 30:1354-		Roy	1968	Bull. Inst. fond. Afr. noire	publication
1182282	Demirsoy. 1979. Ent. Mitt. Zool. Mus. Hamburg 6:254-		Demirsoy	1979	Ent. Mitt. Zool. Mus. Hamburg	publication
1182282	Prost & Roy. 1986. Bull. Inst. fond. Afr. noire A 45:89-		Prost & Roy	1986	Bull. Inst. fond. Afr. noire	publication
1182282	Mukherjee. 1995. Oriental Insects 29		Mukherjee	1995	Oriental Insects	publication
1182282	Ciplak & Demirsoy. 1997. J. Orthoptera Research 6:105-		Ciplak & Demirsoy	1997	J. Orthoptera Research	publication
1182282	Ehrmann. 2002. Mantodea der Welt 79		Ehrmann	2002	Mantodea der Welt	publication
1182282	Roy. 2004. Revue Francaise D’Entomologie. 26(1):1-18		Roy	2004	Revue Francaise D’Entomologie.	publication
1182283	Olivier. 1792. Enc. Meth., Ins. 7:641		Olivier	1792	Enc. Meth., Ins.	original
1182283	Kirby. 1904. Syn. Cat. Orth. 1:315		Kirby	1904	Syn. Cat. Orth.	publication
1182283	Ehrmann. 2002. Mantodea der Welt 79		Ehrmann	2002	Mantodea der Welt	publication
1182284	Giglio-Tos. 1917. Bull. Soc. ent. Ital. 48:70		Giglio-Tos	1917	Bull. Soc. ent. Ital.	original
1182284	Uvarov. 1922. J. Bombay nat. Hist. Soc. 28(3):357		Uvarov	1922	J. Bombay nat. Hist. Soc.	publication
1182284	Buxton & Uvarov. 1923. Bull. Soc. Roy. Ent. Egypt 1923:173		Buxton & Uvarov	1923	Bull. Soc. Roy. Ent. Egypt	publication
1182284	Beier. 1934. Genera Insect. 197:7		Beier	1934	Genera Insect.	combination
1182284	Mistshenko. 1937. J. Bombay nat. Hist. Soc. 39(4):797		Mistshenko	1937	J. Bombay nat. Hist. Soc.	combination
1182284	Ehrmann. 2002. Mantodea der Welt 79		Ehrmann	2002	Mantodea der Welt	publication
1182285	Uvarov. 1940. Ann. Mag. nat. Hist. 11 5:175		Uvarov	1940	Ann. Mag. nat. Hist.	original
1182285	Beier. 1964. Bronn’s Klass. Ordn. Tierreiches 5 3(6):954		Beier	1964	Bronn’s Klass. Ordn. Tierreiches	publication
1182285	Beier. 1968. Handb. Zool. 4((2) 2/12):12		Beier	1968	Handb. Zool.	publication
1182285	Ehrmann. 2002. Mantodea der Welt 191		Ehrmann	2002	Mantodea der Welt	publication
1182286	Saussure. 1869. Mitt. schweiz. ent. Ges. 3:53,  60		Saussure	1869	Mitt. schweiz. ent. Ges.	original
1182286	Saussure. 1871. Mem. Soc. Hist. nat. Geneve 21:330		Saussure	1871	Mem. Soc. Hist. nat. Geneve	publication
1182286	Westwood. 1889. Revis. Mant. 26		Westwood	1889	Revis. Mant.	publication
1182286	Brunner von Wattenwyl. 1893. Annali Mus. civ. Stor. nat. Genova 13(33):76		Brunner von Wattenwyl	1893	Annali Mus. civ. Stor. nat. Genova	publication
1182286	Kirby. 1904. Syn. Cat. Orth. 1:316		Kirby	1904	Syn. Cat. Orth.	publication
1182286	Giglio-Tos. 1927. Tierreich 50:647		Giglio-Tos	1927	Tierreich	publication
1182286	Beier. 1934. Genera Insect. 197:6		Beier	1934	Genera Insect.	publication
1182286	Uvarov. 1940. Ann. Mag. nat. Hist. 11 5:175		Uvarov	1940	Ann. Mag. nat. Hist.	publication
1182286	Ehrmann. 2002. Mantodea der Welt 191		Ehrmann	2002	Mantodea der Welt	publication
1182287	Saussure. 1869. Mitt. schweiz. ent. Ges. 3:60		Saussure	1869	Mitt. schweiz. ent. Ges.	original
