taxonID	source	parentNameUsageID	scientificName	higherClassification	taxonRank
ICTV:20160430	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160430	ICTV:Andromedavirus	Bacillus virus Andromeda	Viruses|Caudovirales|Siphoviridae|Andromedavirus	species
ICTV:20160431	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160431	ICTV:Andromedavirus	Bacillus virus Blastoid	Viruses|Caudovirales|Siphoviridae|Andromedavirus	species
ICTV:20160432	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160432	ICTV:Andromedavirus	Bacillus virus Curly	Viruses|Caudovirales|Siphoviridae|Andromedavirus	species
ICTV:20160433	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160433	ICTV:Andromedavirus	Bacillus virus Eoghan	Viruses|Caudovirales|Siphoviridae|Andromedavirus	species
ICTV:20160434	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160434	ICTV:Andromedavirus	Bacillus virus Finn	Viruses|Caudovirales|Siphoviridae|Andromedavirus	species
ICTV:20160435	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160435	ICTV:Andromedavirus	Bacillus virus Glittering	Viruses|Caudovirales|Siphoviridae|Andromedavirus	species
ICTV:20160436	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160436	ICTV:Andromedavirus	Bacillus virus Riggi	Viruses|Caudovirales|Siphoviridae|Andromedavirus	species
ICTV:20160437	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160437	ICTV:Andromedavirus	Bacillus virus Taylor	Viruses|Caudovirales|Siphoviridae|Andromedavirus	species
ICTV:20160439	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160439	ICTV:Barnyardvirus	Mycobacterium virus Barnyard	Viruses|Caudovirales|Siphoviridae|Barnyardvirus	species
ICTV:20160440	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160440	ICTV:Barnyardvirus	Mycobacterium virus Konstantine	Viruses|Caudovirales|Siphoviridae|Barnyardvirus	species
ICTV:20160442	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160442	ICTV:Barnyardvirus	Mycobacterium virus Predator	Viruses|Caudovirales|Siphoviridae|Barnyardvirus	species
ICTV:20164977	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164977	ICTV:Bernal13virus	Mycobacterium virus Bernal13	Viruses|Caudovirales|Siphoviridae|Bernal13virus	species
ICTV:20160447	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160447	ICTV:Biseptimavirus	Staphylococcus virus 13	Viruses|Caudovirales|Siphoviridae|Biseptimavirus	species
ICTV:20160448	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160448	ICTV:Biseptimavirus	Staphylococcus virus 77	Viruses|Caudovirales|Siphoviridae|Biseptimavirus	species
ICTV:20160449	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160449	ICTV:Biseptimavirus	Staphylococcus virus 108PVL	Viruses|Caudovirales|Siphoviridae|Biseptimavirus	species
ICTV:20160451	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160451	ICTV:Bronvirus	Mycobacterium virus Bron	Viruses|Caudovirales|Siphoviridae|Bronvirus	species
ICTV:20160452	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160452	ICTV:Bronvirus	Mycobacterium virus Faith1	Viruses|Caudovirales|Siphoviridae|Bronvirus	species
ICTV:20160453	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160453	ICTV:Bronvirus	Mycobacterium virus Joedirt	Viruses|Caudovirales|Siphoviridae|Bronvirus	species
ICTV:20160454	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160454	ICTV:Bronvirus	Mycobacterium virus Rumpelstiltskin	Viruses|Caudovirales|Siphoviridae|Bronvirus	species
ICTV:20160456	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160456	ICTV:C2virus	Lactococcus virus bIL67	Viruses|Caudovirales|Siphoviridae|C2virus	species
