id	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	namePublishedIn	taxonRank	scientificNameAuthorship	taxonomicStatus	nomenclaturalStatus	taxonRemarks	modified
1157349	1157349	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1154	1157349	1157347	Derancheperla	Sinitshenkova. 1990. [New Mesozoic Plecoptera from Asia.]. Paleontologicheskii Zhurnal (Paleontol. Zh.) 1990:63-68	genus	Sinitshenkova, 1990	valid			2013-07-20T16:40:00
1157350	1157350	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1155	1157350	1157349	Derancheperla collaris	Sinitshenkova. 1990. [New Mesozoic Plecoptera from Asia.]. Paleontologicheskii Zhurnal (Paleontol. Zh.) 1990:63-68	species	Sinitshenkova, 1990	valid		Mesozoic	2013-07-20T16:40:00
1157351	1157351	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1152	1157351	1157347	Isoperlodes	Sinitshenkova. 1992. New stoneflies from the Upper Mesozoic of Yakutia (Insecta: Perlida -Plecoptera). Paleontologicheskii Zhurnal (Paleontol. Zh.) 1992:34-42	genus	Sinitshenkova, 1992	valid		Jur.-Cret.	2013-07-20T16:40:00
1157352	1157352	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1153	1157352	1157351	Isoperlodes perstrictus	Sinitshenkova. 1992. New stoneflies from the Upper Mesozoic of Yakutia (Insecta: Perlida -Plecoptera). Paleontologicheskii Zhurnal (Paleontol. Zh.) 1992:34-42	species	Sinitshenkova, 1992	valid		Jur.-Cret.	2013-07-20T16:40:00
1157353	1157353	urn:lsid:Plecoptera.speciesfile.org:TaxonName:582	1157353	1157347	Perlodinae	Klapálek. 1909. In Klapálek & Grunberg. Hft. 8. Ephemerida, Plecoptera, Lepidoptera. In Brauer, A. II. Plecoptera, Steinfliegen. Die Süsswasserfauna Deutschlands. Eine Exkursionsfauna, Verlag von Gustav Fischer, Jena 33-95, 160-163, 124 fig.	subfamily	Klapálek, 1909	valid			2016-07-03T10:33:00
1157354	1157354	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1003	1157354	1157353	Arcynopterygini	Ricker & Scudder. 1975. An Annotated Checklist of the Plecoptera (Insecta) of British Columbia. Syesis 8:333-348	tribe	Ricker & Scudder, 1975	valid			2015-11-09T14:40:00
1157355	1157355	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1119	1157355	1157354	Arcynopteryx	Klapálek. 1904. Evropské druhy celede Dictyopterygidae. Rozpravy Ceské akademie ved a umení. Trída II. (Mathematicko-prírodovedecká) (Rozpr. Ceské. Akad.) 13(17):1-10	genus	Klapálek, 1904	valid			2016-06-09T15:02:00
1157356	1157356	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1127	1157356	1157355	Arcynopteryx sajanensis	Zapekina-Dulkeit. 1957. [Plecopteren aus dem Altai-Sajan-Gebirge]. A. N. SSSR Sibirskoje Otdelenje 1957:27-28	species	Zapekina-Dulkeit, 1957	valid			2016-06-09T15:02:00
1157357	1157357	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1150	1157357	1157355	Arcynopteryx dichroa	McLachlan. 1872. Non-Odonates (Second part, Matériaux pour une fauna névroptérologique de l'Asie septentrionale), by DE SÉLYS-LONGCHAMPS & McLACHLAN. Annales de la Société Entomologique de Belgique (Ann. Soc. ent. Belg.) 15:47-77	species	(McLachlan, 1872)	valid			2016-11-10T11:52:00
1157358	1157358	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1147	1157357	1157355	Arcynopteryx brachifer	Bengtsson. 1933. Plecopterologische Studien. Lunds Universitets Årsskrift (Lunds Univ. Årsskr.) [ns] Avd. [2] 29(5):1-50	species	Bengtsson, 1933	junior synonym			2016-11-10T11:52:00
1157359	1157359	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1145	1157357	1157355	Arcynopteryx carpathica	Klapálek. 1906. Revision und Synopsis der europäischen Dictyopterygiden. Bulletin International de l'Academie des Sciences de Bohême (Science, Mathematics, Nature) (Bull. Int. Acad. Sci. Bohême (Sci. Math. Nat.)) 11:137-166	species	Klapálek, 1906	junior synonym			2016-11-10T11:52:00
1157360	1157360	urn:lsid:Plecoptera.speciesfile.org:TaxonName:7584	1157357	1157355	Dictyopteryx dovrensis	Morton. 1901. Perlidae taken in Norway in June and July 1900, with remarks on certain Arctic forms. Entomologist's Monthly Magazine (Entomol. Mon. Mag.) 37:146-148	species	Morton, 1901	junior synonym			2016-06-09T15:02:00
1157361	1157361	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1143	1157357	1157355	Arcynopteryx ignota	Smith, L.W. 1917. Studies of North American Plecoptera (Pteronarcinae and Perlodini). Transactions of the American Entomological Society (Trans.Amer.Ent.Soc.) 43(4):433-489	species	Smith, 1917	junior synonym			2016-06-09T15:02:00
1157362	1157362	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1142	1157357	1157355	Arcynopteryx inornata	Smith, L.W. 1917. Studies of North American Plecoptera (Pteronarcinae and Perlodini). Transactions of the American Entomological Society (Trans.Amer.Ent.Soc.) 43(4):433-489	species	Smith, 1917	junior synonym			2016-06-09T15:02:00
1157363	1157363	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1140	1157357	1157355	Arcynopteryx minor	Klapálek. 1912. Plécoptères I. Fam. Perlodidae. Collections Zoologiques du Baron Edm. de Sélys-Longchamps (Coll. Zool. Selys.) 4(1):1-66	species	Klapálek, 1912	junior synonym			2016-06-09T15:02:00
1157364	1157364	urn:lsid:Plecoptera.speciesfile.org:TaxonName:7585	1157357	1157355	Dictyopteryx norwegica	Kempny. 1900. Über die Perliden-Fauna Norwegens. Verhandlungen der Zoologisch-Botanischen Gesellschaft in Wien (Verh. Zool. Bot. Ges. Wien) 50:85-99	species	Kempny, 1900	junior synonym			2016-06-09T15:02:00
1157365	1157365	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1139	1157357	1157355	Arcynopteryx pyrenaica	Despax. 1927. Arcynopteryx pyrenaica, Plécoptètr nouveau des Pyrénées françaises. Bulletin de la Société d'histoire Naturelle de Toulouse (Bull. Soc. Hist. nat. Toulouse) 56:491-495	species	Despax, 1927	junior synonym			2016-06-09T15:02:00
1157366	1157366	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1138	1157357	1157355	Arcynopteryx ringdahli	Bengtsson. 1933. Plecopterologische Studien. Lunds Universitets Årsskrift (Lunds Univ. Årsskr.) [ns] Avd. [2] 29(5):1-50	species	Bengtsson, 1933	junior synonym			2016-06-09T15:02:00
1157367	1157367	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1137	1157357	1157355	Perlodes anisoptera	Navás. 1923. Algunos insectos del Museo de París. Plecópteros. Revista de la Academia de Ciencas Exactas, Fisicas, Quimica y Naturales de Zaragoza (Rev. Acad. Cienc. Exactas Fis. Quim. Nat. Zaragoza) 7:15-51	species	Navás, 1923	junior synonym			2016-06-09T15:02:00
1157368	1157368	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1136	1157357	1157355	Perlodes arnaizi	Navás. 1914. Notas entomológicas 7 Excursión annual de la Sociedad Aragonesa de Ciencias Naturales a Ortigosa y Valvanera (Logroño). Pérlidos. Boletín de la Sociedad Aragonesa de Ciencias Naturales (Bol. Soc. Aragon. Cienc. Nat.) 13:29-37	species	Navás, 1914	junior synonym			2016-06-09T15:02:00
1157369	1157369	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1135	1157357	1157355	Perlodes lineata	Smith, L.W. 1917. Studies of North American Plecoptera (Pteronarcinae and Perlodini). Transactions of the American Entomological Society (Trans.Amer.Ent.Soc.) 43(4):433-489	species	Smith, 1917	junior synonym			2016-06-09T15:02:00
1157370	1157370	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1134	1157357	1157355	Perlodes margarita	Alexander, C. P. 1936. A new species of Perlodes from the White Mountains, New Hampshire (Family Perlidae, Order Plecoptera). Bulletin of the Brooklyn entomological Society (Bull. Brook. ent. Soc.) 31:24-27	species	Alexander, 1936	junior synonym			2016-06-09T15:02:00
1157371	1157371	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1133	1157357	1157355	Perlodes slossonae	Banks. 1914. New neuropteroid insects, native and exotic. Proceedings of the Academy of Natural Sciences of Philadelphia (Proc. Acad. Nat. Sci. Phila.) 66:608-633	species	Banks, 1914	junior synonym			2016-06-09T15:02:00
1157372	1157372	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1132	1157357	1157355	Dictyopteryx transsylvanica	Klapálek. 1901. Über neue und wenig bekannte Arten der paläarktischen Neuropteroiden. Bulletin International de l'Academie des Sciences de Bohême (Science, Mathematics, Nature) (Bull. Int. Acad. Sci. Bohême (Sci. Math. Nat.)) 7:1-14	species	Klapálek, 1901	junior synonym			2016-06-09T15:02:00
1157373	1157373	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1122	1157373	1157355	Arcynopteryx polaris	Klapálek. 1912. Plécoptères I. Fam. Perlodidae. Collections Zoologiques du Baron Edm. de Sélys-Longchamps (Coll. Zool. Selys.) 4(1):1-66	species	Klapálek, 1912	valid			2016-11-10T11:52:00
1157374	1157374	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1125	1157373	1157355	Arcynopteryx altaica	Zapekina-Dulkeit. 1957. [Plecopteren aus dem Altai-Sajan-Gebirge]. A. N. SSSR Sibirskoje Otdelenje 1957:27-28	species	Zapekina-Dulkeit, 1957	junior synonym			2016-06-09T15:02:00
1157375	1157375	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1121	1157375	1157355	Arcynopteryx amurensis	Zhiltzova & Levanidova. 1978. New species of stoneflies (Plecoptera) from the Far East. Trudy Zoologicheskogo Instituta Akademia Nauk (Trud. zool. Inst. Akad. Nauk) 61:3-29	species	Zhiltzova & Levanidova, 1978	valid			2013-07-20T16:40:00
1157376	1157376	urn:lsid:Plecoptera.speciesfile.org:TaxonName:7576	1157376	1157355	Arcynopteryx angarensis	Teslenko & Zhiltzova. 2012. A new rare species of Arcynopteryx (Plecoptera: Perlodidae) from the basin of Lake Baikal (Russia). Zootaxa 3427:57-62	species	Teslenko & Zhiltzova, 2012	valid			2013-07-20T16:40:00
1157377	1157377	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1113	1157377	1157354	Frisonia	Ricker. 1943. Stoneflies of southwestern British Columbia. Indiana University Publications Science Series (Ind.Univ.Pub.Sci.Ser.) 12:1-145	genus	Ricker, 1943	valid		originally in Isotominae; Frisonia Wray 1952?	2016-06-09T15:02:00
1157378	1157378	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1115	1157378	1157377	Frisonia picticeps	Hanson. 1942. Records and descriptions of North American Plecoptera. Part II. Notes on North American Perlodidae. American Midland Naturalist (Am. Midl. Nat.) 28(2):389-407	species	(Hanson, 1942)	valid		Ricker 1943	2016-06-09T15:02:00
1157379	1157379	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1118	1157378	1157377	Arcynopteryx (Frisonia) walkeri	Ricker. 1943. Stoneflies of southwestern British Columbia. Indiana University Publications Science Series (Ind.Univ.Pub.Sci.Ser.) 12:1-145	species	Ricker, 1943	junior synonym			2016-06-09T15:02:00
1157380	1157380	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1073	1157380	1157354	Megarcys	Klapálek. 1912. Plécoptères I. Fam. Perlodidae. Collections Zoologiques du Baron Edm. de Sélys-Longchamps (Coll. Zool. Selys.) 4(1):1-66	genus	Klapálek, 1912	valid			2016-07-13T08:51:00
1157381	1157381	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1105	1157381	1157380	Megarcys ochracea	Klapálek. 1912. Plécoptères I. Fam. Perlodidae. Collections Zoologiques du Baron Edm. de Sélys-Longchamps (Coll. Zool. Selys.) 4(1):1-66	species	(Klapálek, 1912)	valid		designated Klapálek 1912f	2016-11-10T11:52:00
1157382	1157382	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1080	1157381	1157380	Perlodes lepneva	Šámal. 1939. Contribution à l'étude de la faune des Plécoptères d'Altai. Vestnik Ceskoslovenske Spolecnosti Zoologicke (Vestn. Cesk. Spol. Zool.) 6/7:419-426	species	Šámal, 1939	junior synonym			2016-11-10T11:52:00
1157383	1157383	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1110	1157381	1157380	Perlodes yarizawana	Uéno. 1931. Einige neue Ephe-meropteren und Plecopteren aus Mittel-Japan. Annotationes Zoologicae Japonenses (Annot. Zool. Jap.) 13:91-104	species	Uéno, 1931	junior synonym			2016-06-09T15:02:00
1157384	1157384	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1108	1157381	1157380	Matsumuria sapporensis	Okamoto. 1912. Eine neue gattung und eine neue Art der Japanischen Perliden. Transactions of the Sapporo Natural History Society (Trans. Sapporo. Nat. Hist. Soc.) 4:15-18	species	Okamoto, 1912	junior synonym			2016-06-09T15:02:00
1157385	1157385	urn:lsid:Plecoptera.speciesfile.org:TaxonName:478474	1157381	1157380	Megarcys lepneva	Illies. 1966. Katalog der rezenten Plecoptera. Das Tierreich – Eine Zusammenstellung und Kennzeichnung der rezenten Tierformen. (Das Tierreich) 82:1-631	species	Illies, 1966	junior synonym			2016-11-10T11:52:00
1157386	1157386	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1103	1157386	1157380	Megarcys bussoni	Navás. 1923. Algunos insectos del Museo de París. Plecópteros. Revista de la Academia de Ciencas Exactas, Fisicas, Quimica y Naturales de Zaragoza (Rev. Acad. Cienc. Exactas Fis. Quim. Nat. Zaragoza) 7:15-51	species	(Navás, 1923)	valid			2016-06-09T15:02:00
1157387	1157387	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1100	1157387	1157380	Megarcys irregularis	Banks. 1900[1899]. New genera and species of Nearctic Neuropteroid Insects. Transactions of the American Entomological Society (Trans.Amer.Ent.Soc.) 26(3):239-259	species	(Banks, 1900)	valid		Illies 1966	2016-06-09T15:02:00
1157388	1157388	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1099	1157388	1157380	Megarcys magnilobus	Zhiltzova. 1988. In Levanidova & Makarchenko [Ed.]. [New species of stoneflies (Plecoptera) of the family Perlodidae from the Soviet Far East.]. Fauna, sistematika i biologiya presnovodnykh bespozvonochnykh. [Fauna, systematics and biology of freshwater invertebrates.], Acad Sci. USSR, Vladivostok 7-11	species	Zhiltzova, 1988	valid			2013-07-20T16:40:00
