scientificName
Neornithes
Paleognathae
Neognathae
Neoaves
Struthioniformes
Struthionidae
Aythya innotata (Salvadori, 1894)
Aythya baeri (Radde, 1863)
Aythya nyroca (Güldenstädt, 1770)
Aythya novaeseelandiae (Gmelin, JF, 1789)
Aythya collaris (Donovan, 1809)
Aythya fuligula (Linnaeus, 1758)
Aythya marila (Linnaeus, 1761)
Aythya marila marila (Linnaeus, 1761)
Aythya marila nearctica Stejneger, 1885
Aythya affinis (Eyton, 1838)
Polysticta Eyton, 1836
Polysticta stelleri (Pallas, 1769)
Somateria Leach, 1819
Somateria fischeri (von Brandt, JF, 1847)
Somateria spectabilis (Linnaeus, 1758)
Somateria mollissima (Linnaeus, 1758)
Somateria mollissima v-nigrum Bonaparte & Gray, GR, 1855
Somateria mollissima borealis (Brehm, CL, 1824)
Somateria mollissima sedentaria Snyder, 1941
Somateria mollissima dresseri Sharpe, 1871
Somateria mollissima faeroeensis Brehm, CL, 1831
Somateria mollissima mollissima (Linnaeus, 1758)
Histrionicus Lesson, R, 1828
Histrionicus histrionicus (Linnaeus, 1758)
Camptorhynchus Bonaparte, 1838
Camptorhynchus labradorius (Gmelin, JF, 1789)
Melanitta Boie, F, 1822
Melanitta perspicillata (Linnaeus, 1758)
Melanitta fusca (Linnaeus, 1758)
Melanitta deglandi (Bonaparte, 1850)
Melanitta deglandi stejnegeri (Ridgway, 1887)
Melanitta deglandi deglandi (Bonaparte, 1850)
Melanitta nigra (Linnaeus, 1758)
Melanitta americana (Swainson, 1832)
Clangula Leach, 1819
Clangula hyemalis (Linnaeus, 1758)
Bucephala Baird, SF, 1858
Bucephala albeola (Linnaeus, 1758)
Bucephala clangula (Linnaeus, 1758)
Bucephala clangula clangula (Linnaeus, 1758)
Bucephala clangula americana (Bonaparte, 1838)
Bucephala islandica (Gmelin, JF, 1789)
Mergellus Selby, 1840
Mergellus albellus (Linnaeus, 1758)
Lophodytes Reichenbach, 1853
Lophodytes cucullatus (Linnaeus, 1758)
Mergus Linnaeus, 1758
Mergus australis Hombron & Jacquinot, 1841
Mergus octosetaceus Vieillot, 1817
Mergus merganser Linnaeus, 1758
Mergus merganser merganser Linnaeus, 1758
Mergus merganser orientalis Gould, 1845
Mergus merganser americanus Cassin, 1852
Mergus serrator Linnaeus, 1758
Mergus squamatus Gould, 1864
Heteronetta Salvadori, 1865
Heteronetta atricapilla (Merrem, 1841)
