vernacularName	language	taxonID
Eurasian Teal	en	b282fc376d6e69d5f2c230f7342e4733
Green-winged Teal	en	899b313cd5a94be2b8d3ca53d382e134
Silver Teal	en	938d6a6b8558dc4e0f7d69bd72d15b78
Puna Teal	en	a684ee93b79e4d9f8b22b1c648d9f4bb
Hottentot Teal	en	c8daa32ff207ca4d199a089890ff12e4
Marbled Duck	en	a06a221fdb8bf3fe9e645154bc4c1032
Pink-headed Duck	en	45be23032513e1bc07463eb56b78dc29
Red-crested Pochard	en	029ff9265811faa5cc45b83496f6b78c
Rosy-billed Pochard	en	783aa632c6e73e6bbcfe76ccd268982b
Southern Pochard	en	b1a37e08da5f69d03b1dd1454998b051
Canvasback	en	36353760b38a0661c197a2d722aa098f
Redhead	en	7d60e0fa984536dec918e5180d50e1e0
Common Pochard	en	7c96724b3c42d96ec7e715159b6c115d
Hardhead	en	e2dde38138ddd71951b3c97772591d36
Madagascan Pochard	en	86f51fa6641000c6312adc85c269415a
Baer's Pochard	en	3c3dd9c9e1b0cb0f362740be9435a014
Ferruginous Duck	en	58ed8080449e7341ca4eb8b00fda3f8f
New Zealand Scaup	en	45fe919b7c7fd78fa2dba4b625368c3a
Ring-necked Duck	en	61d47be5dc659fff9bde8f69192b5753
Tufted Duck	en	88c1b996cd435597b7b87965de16ee0d
Greater Scaup	en	38037f102fb5fc0f72cddb5af10814c9
Lesser Scaup	en	37bcf8b6b31cb0aae40a2ad74b86f045
Steller's Eider	en	2842f6439d76927c1da0781e58d57dcc
Spectacled Eider	en	7342a67d24ecc93d553d924d7465cf81
King Eider	en	f00e91f77dce59c002f6aa8f1c76aece
Common Eider	en	0c2d106f6ff838cb9cbb386918f026b8
Harlequin Duck	en	aa4c7e297a0470dec3f444e4d6e59718
Labrador Duck	en	3ad9db20a5dc02815e0d80eb1da5d4a3
Surf Scoter	en	e837939c0f52062a6da089df9df0d74a
Velvet Scoter	en	6b1f22267ada1fd52ebcb4b0fee1a7b6
White-winged Scoter	en	99bb657ad207b7d3e95d8bdf30482940
Common Scoter	en	1b5707df51a266f3345e741a0d208cda
Black Scoter	en	ed81f6250f7e7a2404fde36106771c75
Long-tailed Duck	en	6dd656ecf55edf54cc559d886dcbef9a
Bufflehead	en	dbd0a34d720b559a09f83d7c9e069461
Common Goldeneye	en	ab7a2944119e5d22c66279f59b59eebe
Barrow's Goldeneye	en	abc9adf4acff97511b9068abee6e1e52
Smew	en	75c6d24706fc2b55e9108f4606e01e94
Hooded Merganser	en	76b93f294df904f189d2376cac95aafd
New Zealand Merganser	en	8cb56f07bc89e359ba0734d644ebbe86
Brazilian Merganser	en	6400f4e50004644fff7f13045b92c505
Common Merganser	en	2735c8eab1ca0b100c776cbf8b4b736a
Red-breasted Merganser	en	6094a5cae8517cc6737c55db7674aec4
Scaly-sided Merganser	en	2355b28872e1f7218bf2e9f500fdee1f
Black-headed Duck	en	24b76d746696a509ee9a91e7ef7c8b5c
Masked Duck	en	e69fba5351b3b36dfa075e0665709e20
Ruddy Duck	en	0f3562b697a3ef1de51e6cdaa45f88ca
Andean Duck	en	07b7c59a4c8d11cf851d43611bfb3f5e
Lake Duck	en	8ca03a2722d18759286b9ee164f924e6
Blue-billed Duck	en	eb7bf7a1199e945ec41bdd2258d6825e
Maccoa Duck	en	c03c11469522b9d324255f571507f265
White-headed Duck	en	21e68a24d2f5d08039158a9afcbc16bd
Musk Duck	en	cd40a76f9f216e858f51911900bb384b
Megapodes	en	b6be1dda4f68ce737c81873ba1ce1a69
Australian Brushturkey	en	dba5bcbad8afa73ebdfc016506c42de3
Wattled Brushturkey	en	8b55b0b293572813dce841cdd7913dcc
Waigeo Brushturkey	en	1baaa09dfffee76f8d7c739eef481991
Red-billed Brushturkey	en	dfe71b6be669ffa51cd2b8e8dfc72fbf
Black-billed Brushturkey	en	fb88fdf6a2e4b1eb3eaaaf8bb6028502
Collared Brushturkey	en	d5153aad15d5ba97f24c5a02d1caff76
Malleefowl	en	c0fd9bc68cb999be847beba06223d10f
Maleo	en	7fa238b76945827eadbd5a29ced94d0d
Moluccan Megapode	en	8f0362e821e40fb1bac2ca83e60a5205
Tongan Megapode	en	5a018b0eee9dfeed6886be50042a1405
Micronesian Megapode	en	c7c2d01bb7873c4570ad3d10487ae42d
Nicobar Megapode	en	8caedcb6c79974fca61eba9887deea01
Philippine Megapode	en	a32b2ad28c632628b9ef6bb692c97c0f
Sula Megapode	en	066c97bd249aea122bb2b20fb7e8eaf4
Tanimbar Megapode	en	cb3a324cf8b08d7a51a80e0e3d0ca9ab
Dusky Megapode	en	c32371767f3db3e1c01ff28201183d61
Biak Scrubfowl	en	8eeb3cb7f4ed69e32630f07525ba28b0
Melanesian Megapode	en	ac90fc79be53d6f067fefa1136301e91
Vanuatu Megapode	en	cfe59582cfd10f633b33c556710b84b6
New Guinea Scrubfowl	en	7687cd7d06b610893267bf222596015b
Orange-footed Scrubfowl	en	95545f9619aa069719035a71f50d945a
Chachalacas, Curassows and Guans	en	03871aadb38349f39379e475deef7c50
Plain Chachalaca	en	b955a93573d31e4d61110e808d554fb6
Grey-headed Chachalaca	en	f60a45492acc1c3283a636c6f91aaf96
Chestnut-winged Chachalaca	en	dc23917f3592b0c4da2934ceab75791f
Rufous-vented Chachalaca	en	5a03741a195bdf9ce0ff43d2fa27f928
Rufous-headed Chachalaca	en	b63d7922234569be9ddaccd6115a4c86
Rufous-bellied Chachalaca	en	e10d16bb06385dbf3859852246d9e646
West Mexican Chachalaca	en	0b551ca90400137914fb2813da02f6a5
Chaco Chachalaca	en	fe709dd0d7e4e496bc0392b836645446
White-bellied Chachalaca	en	d0ca62cd9e06f5ac168e94422c142052
Speckled Chachalaca	en	88f57eb70a4e178bd1b0eb351fdc68d1
East Brazilian Chachalaca	en	411cffb62bdc2bc033668976ddf41031
Scaled Chachalaca	en	7d3839704c092eb36b952dbf1be66b40
Colombian Chachalaca	en	9bcc1b39770a1d7b4d4917fca3a38335
Little Chachalaca	en	e3511ed5cd7a9808867d8abd575fb3be
Chestnut-headed Chachalaca	en	961294aa5952be24304bc35692eef115
Buff-browed Chachalaca	en	80932f7b0613657bf0ba5bc02df97235
Band-tailed Guan	en	30ac8f908ec876ba2930826ef338cc10
Bearded Guan	en	2694340a7eb9ac4a09d5d604fe1d10a4
Baudo Guan	en	24aee94fc7fe8ae82edbb103cad6503f
Andean Guan	en	931d1b8448171665185a0d4848cec836
Marail Guan	en	30260a58dd3c10215afedee1e18d3024
Rusty-margined Guan	en	79a9be13e6fcba64e41383f2a5404ab4
Red-faced Guan	en	895b7fd72f0637cbc692a7608e13a915
Crested Guan	en	12a42e2bebfffb752678d15e35c73adc
Cauca Guan	en	870500adca0e88efdd80c9d911dfcda1
White-winged Guan	en	1fbd48c35d5aa0bd83c0f7dac0044e3a
Spix's Guan	en	3254105d551ebe61a8f9bb8e736a50b9
Dusky-legged Guan	en	99974448f851ee407873ccb9e82ce9a0
White-crested Guan	en	2f7cc58dfdbca77ef9f63d5f1ef44456
Chestnut-bellied Guan	en	13ff9d5a5d9cb7ccc0f69fb2b0d3e4f2
White-browed Guan	en	d2a0e1cca5408c7e68792a3257d6e660
Trinidad Piping Guan	en	7d35299bf33c4f49d1f8e54f70e45621
Blue-throated Piping Guan	en	e5a7e6a030631fb0aa122d1c4b14d5d2
Red-throated Piping Guan	en	1e72720b4fdf5605da01b58e3aeaaed0
Black-fronted Piping Guan	en	c1c24aef27b4f02eb8364a19a5f82a2f
Wattled Guan	en	826d95f5f6eeda5a35c90c44fdaf898a
Black Guan	en	a587a1d985ea9b805b08481d4f123dcb
Sickle-winged Guan	en	008920f9b962b4d8a765ef1240b59e22
Highland Guan	en	31ece80e1cf2b774c8301dc17b6d1f53
Horned Guan	en	80d73fc9120d212001cd9922bb459212
Nocturnal Curassow	en	e0a6e3081ff7255de118141d1ce3497d
Crestless Curassow	en	2a2a7afb43714da7492b56d45e9c427b
Salvin's Curassow	en	4d9eb7bfaa210b9a9dfa7f8b86efc9a2
Razor-billed Curassow	en	09d744df5767e105e1c3e66eea5acada
Alagoas Curassow	en	7f80483317a61ab23fc8d140778f87a5
Helmeted Curassow	en	2d77cf3e93c966ff61bb28669ec31ea9
Horned Curassow	en	90a69923631121b61907c04661db9da8
Sira Curassow	en	96fe5f820dc87d32e84178f01c8ea9ab
Great Curassow	en	d9ac874cb543a60b0b2bff1d13b53978
Blue-billed Curassow	en	60076306ff87e28a2d8721070fc199a4
Yellow-knobbed Curassow	en	006d043f217026d8d2fc911b0ca854de
