id	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	namePublishedIn	kingdom	taxonRank	scientificNameAuthorship	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	modified
1210309	1210309	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487273	1210309	1220388	Nysius veculus	Scudder, S.H. 1890. The tertiary insects of North America. Rept. U.S. Geol. Surv. Terr.	Animalia	species	Scudder, 1890	ICZN	valid			2016-11-08T15:21:00
1210311	1210311	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487269	1210311	1220388	Nysius blackburni	White, F.B. 1881. Descriptions of new species of Heteropterous Hemiptera collected in the Hawaiian Islands by the Rev. T. Blackburn no. 3. Ann. Mag. Nat. Hist.	Animalia	species	White, 1881	ICZN	valid			2016-11-08T15:21:00
1210312	1210312	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487272	1210311	1220388	Nysius lichenicola atralis	Kirkaldy, G.W. 1910. Hemiptera: supplement to fauna Hawaiiensis. Hemiptera: supplement to fauna Hawaiiensis.	Animalia	subspecies	Kirkaldy, 1910	ICZN	junior synonym			2016-11-08T15:21:00
1210313	1210313	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487271	1210311	1220388	Nysius lichenicola brunnealis	Kirkaldy, G.W. 1910. Hemiptera: supplement to fauna Hawaiiensis. Hemiptera: supplement to fauna Hawaiiensis.	Animalia	subspecies	Kirkaldy, 1910	ICZN	junior synonym			2016-11-08T15:21:00
1210314	1210314	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487219	1224390	1210429	Nysius (Nysius) ochraceus	Kiritshenko, A.N. 1951. Hemiptera Heteroptera & Homoptera of Canyon of Kondara. Izd. Akad. Nauk SSSR	Animalia	species	Kiritshenko, 1951	ICZN	junior synonym			2016-11-08T15:21:00
1210315	1210315	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487267	1210315	1220388	Nysius dallasi	White, F.B. 1878. Descriptions of new species of Heteropterous Hemiptera collected in the Hawaiian Islands by the Rev. T. Blackburn no. 2. Ann. Mag. Nat. Hist.	Animalia	species	White, 1878	ICZN	valid			2016-11-24T13:27:00
1210316	1210316	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487266	1210316	1220388	Nysius (Nysius) epiensis	Szent-Ivany & Catley. 1960. Host plant and distribution records of some insects in New Guinea and adjacent islands. Pacific Insects	Animalia	species	Szent-Ivany & Catley, 1960	ICZN	invalid	nudum		2016-11-08T15:21:00
1210413	1210413	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487264	1220388	1210498	Brachynysius	Usinger, R.L. 1942. The genus Nysius and its allies in the Hawaiian Islands (Hemiptera, Lygaeidae, Orsillini). Bull. Bishop Mus.	Animalia	genus	Usinger, 1942	ICZN	junior synonym			2016-11-08T15:21:00
1210414	1210414	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487263	1220388	1210498	*Hemidiptera	Leon. 1890.	Animalia	genus	Leon, 1890	ICZN	junior synonym			2016-11-08T15:21:00
1210415	1210415	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487262	1220388	1210498	Nysius (Tropinysius)	Wagner, E. 1958. Der Nysius-Komplex (Hem. Het. Lygaeidae) in der Palaearktis. Societas Scietiarum Fennica Commentationes Biologicae (Comment. biol., Helsingf.)	Animalia	subgenus	Wagner, 1958	ICZN	junior synonym			2016-11-08T15:21:00
1210416	1210416	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487258	1210416	1220388	Nysius immunis	Walker, F. 1872. Catalogue of the specimens of Hemiptera Heteroptera in the collection of the British Museum. Catalogue of the specimens of Hemiptera Heteroptera in the collection of the British Museum. London:	Animalia	species	(Walker, 1872)	ICZN	valid			2016-11-08T15:21:00
1210417	1210417	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487261	1210416	1220388	Nysius brevicollis	Blote, H.C. 1929. Hemipteren: In: Uyttenboogaart, D. L., contribution to the knowledge of the fauna of the Canary Islands Part III. Tijdschrift Entomologie (Tijdschr. Ent.)	Animalia	species	Blote, 1929	ICZN	junior synonym			2016-11-08T15:21:00
1210418	1210418	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487254	1210418	1220388	Nysius contiguus	Walker, F. 1872. Catalogue of the specimens of Hemiptera Heteroptera in the collection of the British Museum. Catalogue of the specimens of Hemiptera Heteroptera in the collection of the British Museum. London:	Animalia	species	Walker, 1872	ICZN	valid			2016-11-08T15:21:00
1210419	1210419	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487257	1210418	1220388	Heterogaster atriclava	Walker, F. 1872. Catalogue of the specimens of Hemiptera Heteroptera in the collection of the British Museum. Catalogue of the specimens of Hemiptera Heteroptera in the collection of the British Museum. London:	Animalia	species	Walker, 1872	ICZN	junior synonym			2016-11-08T15:21:00
1210420	1210420	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487256	1210418	1220388	Nysius proximus	Walker, F. 1872. Catalogue of the specimens of Hemiptera Heteroptera in the collection of the British Museum. Catalogue of the specimens of Hemiptera Heteroptera in the collection of the British Museum. London:	Animalia	species	Walker, 1872	ICZN	junior synonym			2016-11-08T15:21:00
