id	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	namePublishedIn	kingdom	taxonRank	scientificNameAuthorship	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	modified
1220605	1220605	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469083	1220605	1220590	Mantophasma omatakoense	Zompro & Adis. 2006. Notes on Namibian Mantophasma Zompro, Klass, Kristensen & Adis, 2002, with descriptions of three new species (Insecta: Mantophasmatodea: Mantophasmatidae: Mantophasmatini). Russian Entomological Journal (Russ.Entomol.J.) 15(1):21-24	Animalia	species	Zompro & Adis, 2006	ICZN	valid			2015-12-02T11:43:00
1220606	1220606	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469080	1220606	1220591	Sclerophasma paresisensis	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):3-67	Animalia	species	Klass, Picker, Damgaard, van Noort & Tojo, 2003	ICZN	valid			2015-12-02T11:43:00
1220607	1220607	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469077	1220607	1220592	Praedatophasma maraisi	Zompro & Adis. 2002. In Zompro, Adis & Weitschat. A Review of the Order Mantophasmatodea (Insecta). Zoologischer Anzeiger (Zool. Anz.) 241	Animalia	species	Zompro & Adis, 2002	ICZN	valid			2015-12-02T11:43:00
1220608	1220608	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469075	1220608	1220593	Tyrannophasma gladiator	Zompro. 2003. In Zompro, Adis, Bragg, Naskrecki, Meakin, Wittneben & Saxe. A new genus and species of Mantophasmatidae (Insecta: Mantophasmatodea) from the Brandberg Massif, Namibia, with notes on behaviour. Cimbebasia 19(December)	Animalia	species	Zompro, 2003	ICZN	valid			2015-12-02T11:43:00
1220609	1220609	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469071	1220609	1220595	Austrophasma caledonensis	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):3-67	Animalia	species	Klass, Picker, Damgaard, van Noort & Tojo, 2003	ICZN	valid			2015-12-02T11:43:00
1220610	1220610	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469070	1220610	1220595	Austrophasma gansbaaiensis	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):3-67	Animalia	species	Klass, Picker, Damgaard, van Noort & Tojo, 2003	ICZN	valid			2015-12-02T11:43:00
1220611	1220611	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469069	1220611	1220595	Austrophasma rawsonvillensis	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):3-67	Animalia	species	Klass, Picker, Damgaard, van Noort & Tojo, 2003	ICZN	valid			2015-12-02T11:43:00
1220612	1220612	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:472518	1220612	1223802	Lobatophasma redelinghuysensis	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):3-67	Animalia	species	(Klass, Picker, Damgaard, van Noort & Tojo, 2003)	ICZN	valid			2015-12-02T11:43:00
1220613	1220613	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469065	1220613	1220597	Hemilobophasma montaguensis	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):3-67	Animalia	species	Klass, Picker, Damgaard, van Noort & Tojo, 2003	ICZN	valid			2015-12-02T11:43:00
1220614	1220614	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469063	1220614	1220598	Karoophasma biedouwensis	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):3-67	Animalia	species	Klass, Picker, Damgaard, van Noort & Tojo, 2003	ICZN	valid			2016-08-30T14:43:00
