id	bibliographicCitation	title	creator	date	source	type
1180076	Steinmann. 1981. A revision of the Indo-Australian Gonolabis Burr, 1900 species (Dermaptera: Carcinophoridae). Folia entomologica Hungarica 34(2):187-195	A revision of the Indo-Australian Gonolabis Burr, 1900 species (Dermaptera: Carcinophoridae)	Steinmann	1981	Folia entomologica Hungarica	original
1180077	Steinmann. 1981. A revision of the Indo-Australian Gonolabis Burr, 1900 species (Dermaptera: Carcinophoridae). Folia entomologica Hungarica 34(2):187-195	A revision of the Indo-Australian Gonolabis Burr, 1900 species (Dermaptera: Carcinophoridae)	Steinmann	1981	Folia entomologica Hungarica	original
1180078	Steinmann. 1981. A revision of the Indo-Australian Gonolabis Burr, 1900 species (Dermaptera: Carcinophoridae). Folia entomologica Hungarica 34(2):187-195	A revision of the Indo-Australian Gonolabis Burr, 1900 species (Dermaptera: Carcinophoridae)	Steinmann	1981	Folia entomologica Hungarica	original
1180079	Steinmann. 1981. A revision of the Indo-Australian Gonolabis Burr, 1900 species (Dermaptera: Carcinophoridae). Folia entomologica Hungarica 34(2):187-195	A revision of the Indo-Australian Gonolabis Burr, 1900 species (Dermaptera: Carcinophoridae)	Steinmann	1981	Folia entomologica Hungarica	original
1180080	Steinmann. 1981. A revision of the Indo-Australian Gonolabis Burr, 1900 species (Dermaptera: Carcinophoridae). Folia entomologica Hungarica 34(2):180	A revision of the Indo-Australian Gonolabis Burr, 1900 species (Dermaptera: Carcinophoridae)	Steinmann	1981	Folia entomologica Hungarica	original
1180081	Steinmann. 1984. A revision of the Indo-Australian species of the genus Auchenomus Karsch, 1886 (Dermaptera: Labiidae). Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. ) 30(3-4):511-521	A revision of the Indo-Australian species of the genus Auchenomus Karsch, 1886 (Dermaptera: Labiidae)	Steinmann	1984	Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. )	original
1180082	Steinmann. 1984. A revision of the Indo-Australian species of the genus Auchenomus Karsch, 1886 (Dermaptera: Labiidae). Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. ) 30(3-4):511-521	A revision of the Indo-Australian species of the genus Auchenomus Karsch, 1886 (Dermaptera: Labiidae)	Steinmann	1984	Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. )	original
1180083	Steinmann. 1984. A revision of the Indo-Australian species of the genus Auchenomus Karsch, 1886 (Dermaptera: Labiidae). Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. ) 30(3-4):511-521	A revision of the Indo-Australian species of the genus Auchenomus Karsch, 1886 (Dermaptera: Labiidae)	Steinmann	1984	Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. )	original
1180084	Steinmann. 1984. A revision of the Indo-Australian species of the genus Auchenomus Karsch, 1886 (Dermaptera: Labiidae). Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. ) 30(3-4):511-521	A revision of the Indo-Australian species of the genus Auchenomus Karsch, 1886 (Dermaptera: Labiidae)	Steinmann	1984	Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. )	original
1180085	Steinmann. 1982. A revision of the genus Ancistrogaster Stal, 1855 (Dermaptera, Forficulidae). ANNALES HISTORICO-NATURALES MUSEI NATIONALIS HUNGARICI 74:75-84	A revision of the genus Ancistrogaster Stal, 1855 (Dermaptera, Forficulidae)	Steinmann	1982	ANNALES HISTORICO-NATURALES MUSEI NATIONALIS HUNGARICI	original
1180086	Steinmann. 1982. A revision of the genus Ancistrogaster Stal, 1855 (Dermaptera, Forficulidae). ANNALES HISTORICO-NATURALES MUSEI NATIONALIS HUNGARICI 74:75-84	A revision of the genus Ancistrogaster Stal, 1855 (Dermaptera, Forficulidae)	Steinmann	1982	ANNALES HISTORICO-NATURALES MUSEI NATIONALIS HUNGARICI	original
1180087	Steinmann. 1986. A survey of Neotropical Strongylopsalinae (Dermaptera: Labiidae). Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. ) 32(3-4):361-376	A survey of Neotropical Strongylopsalinae (Dermaptera: Labiidae)	Steinmann	1986	Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. )	original
1180088	Steinmann. 1986. A survey of Neotropical Strongylopsalinae (Dermaptera: Labiidae). Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. ) 32(3-4):361-376	A survey of Neotropical Strongylopsalinae (Dermaptera: Labiidae)	Steinmann	1986	Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. )	original
1180089	Steinmann. 1986. A survey of Neotropical Strongylopsalinae (Dermaptera: Labiidae). Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. ) 32(3-4):361-376	A survey of Neotropical Strongylopsalinae (Dermaptera: Labiidae)	Steinmann	1986	Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. )	original
1180090	Steinmann. 1986. A survey of Neotropical Strongylopsalinae (Dermaptera: Labiidae). Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. ) 32(3-4):361-376	A survey of Neotropical Strongylopsalinae (Dermaptera: Labiidae)	Steinmann	1986	Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. )	original
1180091	Steinmann. 1986. A survey of Neotropical Strongylopsalinae (Dermaptera: Labiidae). Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. ) 32(3-4):374	A survey of Neotropical Strongylopsalinae (Dermaptera: Labiidae)	Steinmann	1986	Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. )	original
1180092	Steinmann. 1982. A survey of the Neotropical Prosparatta Burr species (Dermaptera: Labiidae). Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. ) 28(1-2):139-141	A survey of the Neotropical Prosparatta Burr species (Dermaptera: Labiidae)	Steinmann	1982	Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. )	original
1180095	Steinmann. 1983. A contribution to the fauna of earwigs (Dermaptera) of Vietnam. Zoologichesky Zhurnal 62(11):1745-1748	A contribution to the fauna of earwigs (Dermaptera) of Vietnam	Steinmann	1983	Zoologichesky Zhurnal	original
1180096	Steinmann. 1983. A contribution to the fauna of earwigs (Dermaptera) of Vietnam. Zoologichesky Zhurnal 62(11):1745-1748	A contribution to the fauna of earwigs (Dermaptera) of Vietnam	Steinmann	1983	Zoologichesky Zhurnal	original
1180097	Steinmann. 1983. A contribution to the fauna of earwigs (Dermaptera) of Vietnam. Zoologichesky Zhurnal 62(11):1745-1748	A contribution to the fauna of earwigs (Dermaptera) of Vietnam	Steinmann	1983	Zoologichesky Zhurnal	original
1180098	Steinmann. 1985. A revision of the genus Chaetolabia Brindle, 1972 (Dermaptera, Labiidae). ANNALES HISTORICO-NATURALES MUSEI NATIONALIS HUNGARICI 77:121-126	A revision of the genus Chaetolabia Brindle, 1972 (Dermaptera, Labiidae)	Steinmann	1985	ANNALES HISTORICO-NATURALES MUSEI NATIONALIS HUNGARICI	original
1180099	Steinmann. 1985. A revision of the genus Chaetolabia Brindle, 1972 (Dermaptera, Labiidae). ANNALES HISTORICO-NATURALES MUSEI NATIONALIS HUNGARICI 77:121-126	A revision of the genus Chaetolabia Brindle, 1972 (Dermaptera, Labiidae)	Steinmann	1985	ANNALES HISTORICO-NATURALES MUSEI NATIONALIS HUNGARICI	original
1180100	Steinmann. 1985. A revision of the genus Chaetolabia Brindle, 1972 (Dermaptera, Labiidae). ANNALES HISTORICO-NATURALES MUSEI NATIONALIS HUNGARICI 77:121-126	A revision of the genus Chaetolabia Brindle, 1972 (Dermaptera, Labiidae)	Steinmann	1985	ANNALES HISTORICO-NATURALES MUSEI NATIONALIS HUNGARICI	original
1180101	Steinmann. 1985. A revision of the genus Chaetolabia Brindle, 1972 (Dermaptera, Labiidae). ANNALES HISTORICO-NATURALES MUSEI NATIONALIS HUNGARICI 77:121-126	A revision of the genus Chaetolabia Brindle, 1972 (Dermaptera, Labiidae)	Steinmann	1985	ANNALES HISTORICO-NATURALES MUSEI NATIONALIS HUNGARICI	original
1180102	Steinmann. 1985. A revision of the genus Chaetolabia Brindle, 1972 (Dermaptera, Labiidae). ANNALES HISTORICO-NATURALES MUSEI NATIONALIS HUNGARICI 77:121-126	A revision of the genus Chaetolabia Brindle, 1972 (Dermaptera, Labiidae)	Steinmann	1985	ANNALES HISTORICO-NATURALES MUSEI NATIONALIS HUNGARICI	original
1180103	Steinmann. 1985. A revision of the genus Irdex Burr, 1911 (Dermaptera: Labiidae). Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. ) 31(1-3):245-265	A revision of the genus Irdex Burr, 1911 (Dermaptera: Labiidae)	Steinmann	1985	Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. )	original
