index	taxonID	acceptedNameUsageID	parentNameUsageID	scientificName	taxonRank	taxonomicStatus
Solenostomataceae	Solenostomataceae	Solenostomataceae	Jungermanniineae	Solenostomataceae	family	accepted
Aponardia	Aponardia	Aponardia	Solenostomataceae	Aponardia	genus	accepted
Arctoscyphus	Arctoscyphus	Arctoscyphus	Solenostomataceae	Arctoscyphus	genus	not verified
Cryptocolea	Cryptocolea	Cryptocolea	Solenostomataceae	Cryptocolea	genus	not verified
Diplocolea	Diplocolea	Diplocolea	Solenostomataceae	Diplocolea	genus	not verified
Solenostoma	Solenostoma	Solenostoma	Solenostomataceae	Solenostoma	genus	accepted
Southbyaceae	Southbyaceae	Southbyaceae	Jungermanniineae	Southbyaceae	family	accepted
Gongylanthus	Gongylanthus	Gongylanthus	Southbyaceae	Gongylanthus	genus	accepted
Southbya	Southbya	Southbya	Southbyaceae	Southbya	genus	accepted
Stephaniellaceae	Stephaniellaceae	Stephaniellaceae	Jungermanniineae	Stephaniellaceae	family	not verified
Stephaniella	Stephaniella	Stephaniella	Stephaniellaceae	Stephaniella	genus	accepted
Stephaniellidium	Stephaniellidium	Stephaniellidium	Stephaniellaceae	Stephaniellidium	genus	not verified
Trichotemnomataceae	Trichotemnomataceae	Trichotemnomataceae	Jungermanniineae	Trichotemnomataceae	family	accepted
Trichotemnoma	Trichotemnoma	Trichotemnoma	Trichotemnomataceae	Trichotemnoma	genus	accepted
Lophocoleineae	Lophocoleineae	Lophocoleineae	Jungermanniales	Lophocoleineae	suborder	accepted
Blepharostomataceae	Blepharostomataceae	Blepharostomataceae	Lophocoleineae	Blepharostomataceae	family	accepted
Blepharostoma	Blepharostoma	Blepharostoma	Blepharostomataceae	Blepharostoma	genus	accepted
Brevianthaceae	Brevianthaceae	Brevianthaceae	Lophocoleineae	Brevianthaceae	family	accepted
Brevianthus	Brevianthus	Brevianthus	Brevianthaceae	Brevianthus	genus	accepted
Tetracymbaliella	Tetracymbaliella	Tetracymbaliella	Brevianthaceae	Tetracymbaliella	genus	accepted
Chonecoleaceae	Chonecoleaceae	Chonecoleaceae	Lophocoleineae	Chonecoleaceae	family	not verified
Chonecolea	Chonecolea	Chonecolea	Chonecoleaceae	Chonecolea	genus	not verified
Grolleaceae	Grolleaceae	Grolleaceae	Lophocoleineae	Grolleaceae	family	not verified
Grollea	Grollea	Grollea	Grolleaceae	Grollea	genus	not verified
Herbertaceae	Herbertaceae	Herbertaceae	Lophocoleineae	Herbertaceae	family	accepted
Herbertus	Herbertus	Herbertus	Herbertaceae	Herbertus	genus	accepted
Triandrophyllum	Triandrophyllum	Triandrophyllum	Herbertaceae	Triandrophyllum	genus	accepted
Lepicoleaceae	Lepicoleaceae	Lepicoleaceae	Lophocoleineae	Lepicoleaceae	family	accepted
Lepicolea	Lepicolea	Lepicolea	Lepicoleaceae	Lepicolea	genus	accepted
Vetaforma	Vetaforma	Vetaforma	Lepicoleaceae	Vetaforma	genus	accepted
Lepidoziaceae	Lepidoziaceae	Lepidoziaceae	Lophocoleineae	Lepidoziaceae	family	accepted
Meinungeria	Meinungeria	Meinungeria	Lepidoziaceae	Meinungeria	genus	not verified
Bazzanioideae	Bazzanioideae	Bazzanioideae	Lepidoziaceae	Bazzanioideae	subfamily	accepted
Acromastigum	Acromastigum	Acromastigum	Bazzanioideae	Acromastigum	genus	accepted
Bazzania	Bazzania	Bazzania	Bazzanioideae	Bazzania	genus	accepted
Mastigopelma	Mastigopelma	Mastigopelma	Bazzanioideae	Mastigopelma	genus	doubtful
Drucelloideae	Drucelloideae	Drucelloideae	Lepidoziaceae	Drucelloideae	subfamily	accepted
Drucella	Drucella	Drucella	Drucelloideae	Drucella	genus	accepted
Lembidioideae	Lembidioideae	Lembidioideae	Lepidoziaceae	Lembidioideae	subfamily	accepted
Dendrolembidium	Dendrolembidium	Dendrolembidium	Lembidioideae	Dendrolembidium	genus	not verified
Hygrolembidium	Hygrolembidium	Hygrolembidium	Lembidioideae	Hygrolembidium	genus	not verified
Isolembidium	Isolembidium	Isolembidium	Lembidioideae	Isolembidium	genus	not verified
Kurzia	Kurzia	Kurzia	Lembidioideae	Kurzia	genus	accepted
Lembidium	Lembidium	Lembidium	Lembidioideae	Lembidium	genus	not verified
Megalembidium	Megalembidium	Megalembidium	Lembidioideae	Megalembidium	genus	not verified
Pseudocephalozia	Pseudocephalozia	Pseudocephalozia	Lembidioideae	Pseudocephalozia	genus	not verified
Lepidozioideae	Lepidozioideae	Lepidozioideae	Lepidoziaceae	Lepidozioideae	subfamily	accepted
Ceramanus	Ceramanus	Ceramanus	Lepidozioideae	Ceramanus	genus	accepted
Lepidozia	Lepidozia	Lepidozia	Lepidozioideae	Lepidozia	genus	accepted
Neolepidozia	Neolepidozia	Neolepidozia	Lepidozioideae	Neolepidozia	genus	accepted
Tricholepidozia	Tricholepidozia	Tricholepidozia	Lepidozioideae	Tricholepidozia	genus	accepted
Micropterygioideae	Micropterygioideae	Micropterygioideae	Lepidoziaceae	Micropterygioideae	subfamily	not verified
Micropterygium	Micropterygium	Micropterygium	Micropterygioideae	Micropterygium	genus	not verified
Mytilopsis	Mytilopsis	Mytilopsis	Micropterygioideae	Mytilopsis	genus	not verified
Protocephalozioideae	Protocephalozioideae	Protocephalozioideae	Lepidoziaceae	Protocephalozioideae	subfamily	not verified
Protocephalozia	Protocephalozia	Protocephalozia	Protocephalozioideae	Spruce	genus	accepted
Zoopsidoideae	Zoopsidoideae	Zoopsidoideae	Lepidoziaceae	Zoopsidoideae	subfamily	accepted
Amazoopsis	Amazoopsis	Amazoopsis	Zoopsidoideae	Amazoopsis	genus	not verified
Hyalolepidozia	Hyalolepidozia	Hyalolepidozia	Zoopsidoideae	Hyalolepidozia	genus	doubtful
Monodactylopsis	Monodactylopsis	Monodactylopsis	Zoopsidoideae	Monodactylopsis	genus	accepted
Neogrollea	Neogrollea	Neogrollea	Zoopsidoideae	Neogrollea	genus	not verified
Paracromastigum	Paracromastigum	Paracromastigum	Zoopsidoideae	Paracromastigum	genus	accepted
Psiloclada	Psiloclada	Psiloclada	Zoopsidoideae	Psiloclada	genus	not verified
Pteropsiella	Pteropsiella	Pteropsiella	Zoopsidoideae	Pteropsiella	genus	not verified
Telaranea	Telaranea	Telaranea	Zoopsidoideae	Telaranea	genus	not verified
Zoopsidella	Zoopsidella	Zoopsidella	Zoopsidoideae	Zoopsidella	genus	not verified
Zoopsis	Zoopsis	Zoopsis	Zoopsidoideae	Zoopsis	genus	not verified
Lophocoleaceae	Lophocoleaceae	Lophocoleaceae	Lophocoleineae	Lophocoleaceae	family	accepted
Bragginsella	Bragginsella	Bragginsella	Lophocoleaceae	Bragginsella	genus	not verified
Chiloscyphus	Chiloscyphus	Chiloscyphus	Lophocoleaceae	Chiloscyphus	genus	accepted
Clasmatocolea	Clasmatocolea	Clasmatocolea	Lophocoleaceae	Clasmatocolea	genus	not verified
Conoscyphus	Conoscyphus	Conoscyphus	Lophocoleaceae	Conoscyphus	genus	accepted
Cryptolophocolea	Cryptolophocolea	Cryptolophocolea	Lophocoleaceae	Cryptolophocolea	genus	accepted
Deceptifrons	Deceptifrons	Deceptifrons	Lophocoleaceae	Deceptifrons	genus	accepted
Evansianthus	Evansianthus	Evansianthus	Lophocoleaceae	Evansianthus	genus	accepted
