id	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	namePublishedIn	taxonRank	scientificNameAuthorship	taxonomicStatus	nomenclaturalStatus	taxonRemarks	modified
1191494	1191494	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452293	1191487	1191480	Rhopalus maculatus decolor	Wagner. 1962. 2. Beitrag zur Heteropteren-Fauna Macedoniens (Hem. Het.). Fragmenta Balcanica 4:115-122	species	Wagner, 1962	junior synonym			2016-05-10T12:22:00
1191495	1191495	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452288	1191495	1191480	Rhopalus (Aeschyntelus) nigricornis	Hsiao. 1965. New Coreids from China (Hemiptera, Heteroptera) IV. Acta Zoologica Sinica 17(4):421-434	species	(Hsiao, 1965)	valid			2016-05-10T12:22:00
1191496	1191496	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452290	1191495	1191480	Aeschyntelus bicolor	Hsiao. 1965. New Coreids from China (Hemiptera, Heteroptera) IV. Acta Zoologica Sinica 17(4):421-434	species	Hsiao, 1965	junior synonym			2016-05-10T12:22:00
1191497	1191497	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452283	1191497	1191480	Rhopalus (Aeschyntelus) sapporensis	Matsumura. 1905. Thousand insects of Japan, Keiseisha, Tokyo 2:1-213, 17 plates	species	(Matsumura, 1905)	valid			2016-05-10T12:22:00
1191498	1191498	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452287	1191497	1191480	Rhopalus maculatus umbratilis	Horváth. 1917. Heteroptera palaearctica nova vel minus cognita. I. Annales Historico-Naturales Musei Nationalis Hungarici (Ann. Mus. Hungar.) 15:365-381	species	Horváth, 1917	junior synonym			2016-05-10T12:22:00
1191499	1191499	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452286	1191497	1191480	Corizus sparsus	Blöte. 1934. Catalogue of the Coreidae in the Rijksmuseum van Natuurlijke Historie. Part I. Corizinae, Alydinae. Zoölogische Mededeelingen, Leiden 17:253-285	species	Blöte, 1934	junior synonym			2016-05-10T12:22:00
1191500	1191500	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452285	1191497	1191480	Aeschyntelus communis	Hsiao. 1963. Results of the Zoologico-Botanical Expedition to southwest China, 1955-1957 (Hemiptera, Coreidae). Acta Entomologica Sinica 12:310-344	species	Hsiao, 1963	junior synonym			2016-05-10T12:22:00
1191501	1191501	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452282	1191501	1191480	Rhopalus (Aeschyntelus) tibetanus	Liu, Q.A. & Zheng. 1989. A review on the Chinese species of Rhopalus Schilling (Hemiptera: Rhopalidae)  . Entomotaxonomia 11:269-277	species	Liu & Zheng, 1989	valid			2016-05-10T12:22:00
1191502	1191502	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452281	1191480	1191463	Rhopalus (Aeschynteles)	Reuter. 1888. Revisio synonymica Heteropterorum Palaearcticorum quae descripserunt auctores vetustiores (Linnaeus 1758 - Latreille 1806), Finnische Literatur-Gesellschaft, Helsingfors 1-458 [I: 1-73; II: 74-485]	subgenus	Reuter, 1888	synonym			2016-05-10T12:22:00
1191503	1191503	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452198	1191503	1191373	Stictopleurus	Stål. 1872. Genera Coreidarum Europae disposuit. Öfversigt af Konglika Vetenskaps-Akademiens Förhandlingar (Öfvers.K.VetenskAkad.Förh.Stockh) 29(6):49-56	genus	Stål, 1872	valid			2016-05-10T12:22:00
1191504	1191504	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452274	1191504	1191503	Stictopleurus abutilon	Rossi. 1790. Fauna Etrusca, sistens insecta quae in provinciis Florentina et Pisana praesertim collegit, Masi, Liburni 2:1-348	species	(Rossi, 1790)	valid			2016-05-10T12:22:00
1191505	1191505	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452278	1191504	1191503	Corizus substriatus	Burmeister. 1835. Handbuch der Entomologie, Enslin, Berlin i-xii, 1-400	species	Burmeister, 1835	junior synonym			2016-05-10T12:22:00
1191506	1191506	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452277	1191504	1191503	Rhopalus abutilon flavescens	Fieber. 1861. Die europäischen Hemiptera. Halbflügler. (Rhynchota Heteroptera.), Gerold's Sohn, Wien 113-444	species	Fieber, 1861	junior synonym			2016-05-10T12:22:00
1191507	1191507	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452276	1191504	1191503	Rhopalus signoreti	Mulsant & Rey. 1870. Histoire naturelle des punaises de France. Coréides, Alydides, Berytides, Stenocephalides., Cornell University Press, Ithaca, New York 1-250, 1-3	species	Mulsant & Rey, 1870	junior synonym			2016-05-10T12:22:00
1191508	1191508	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452272	1191508	1191503	Stictopleurus angustus	Reuter. 1900. Heteroptera palaearctica nova et minus cognita. II. Öfversigt af Finska Vetenskaps-Societetens Förhandlingar 42:268-281	species	Reuter, 1900	valid			2016-06-01T09:56:00
1191509	1191509	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452273	1191508	1191503	Stictopleurus rubrinervis	Kiritshenko. 1914. Hemiptera-Heteroptera turanica nova. II. Revue Russe d'Entomologie 13:397-415	species	Kiritshenko, 1914	junior synonym			2016-05-10T12:22:00
1191510	1191510	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452258	1191510	1191503	Stictopleurus crassicornis	Linnaeus. 1758. Systema naturae per regna tria naturae, secundum classes, ordines, genera, species, cum characteribus, differentiis, synonymis, locis. Editio decima, reformata, Salvii, Holmiae i-v, 1-824	species	(Linnaeus, 1758)	valid			2016-05-10T12:22:00
1191511	1191511	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452271	1191510	1191503	Cimex alatus		species	Müller, 1776	junior synonym			2016-05-10T12:22:00
1191512	1191512	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452270	1191510	1191503	Corizus cellulatus	Brullé. 1832. Expédition scientifique de Morée. Section des sciences physiques. 3 (1) Zoologie (2). Des Animaux articulés (Expéd. scient. Morée) [1] + 400 + [2] pp	species	Brullé, 1832	junior synonym			2016-05-10T12:22:00
1191513	1191513	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452269	1191510	1191503	Corizus panzeri	Dufour. 1833. Recherches anatomiques et physiologiques sur les Hémiptères, accompagnées de considerations relatives à l'histoire naturelle et à la classification de ces insectes  . Mémoires présentés par divers savants à l'Académie Royale des Sciences de l’Institut de France 4:129-462	species	Dufour, 1833	junior synonym			2016-05-10T12:22:00
1191514	1191514	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452268	1191510	1191503	Rhopalus crassicornis griseus	Fieber. 1861. Die europäischen Hemiptera. Halbflügler. (Rhynchota Heteroptera.), Gerold's Sohn, Wien 113-444	species	Fieber, 1861	junior synonym			2016-05-10T12:22:00
1191515	1191515	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452267	1191510	1191503	Rhopalus crassicornis maculatus	Fieber. 1861. Die europäischen Hemiptera. Halbflügler. (Rhynchota Heteroptera.), Gerold's Sohn, Wien 113-444	species	Fieber, 1861	junior synonym			2016-05-10T12:22:00
1191516	1191516	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452266	1191510	1191503	Corizus crassicornis pictus	Horváth. 1878. In Schneider. Beitrag zur Hemipteren-Fauna Transkaukasiens. Naturwissenschaftliche beiträge zur Kenntniss der Kaukasusländer, aug Grund seine Sammelbeute, Burdach’schen Hofbuchhandlung, Dresden 72-86	species	Horváth, 1878	junior synonym			2016-05-10T12:22:00
1191517	1191517	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452265	1191510	1191503	Corizus crassicornis umbrinus	Rey. 1887. Remarques en passant. Coréides. Échange 3(36):1-2	species	Rey, 1887	junior synonym			2016-05-10T12:22:00
1191518	1191518	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452264	1191510	1191503	Corizus crassicornis anticus	Rey. 1888. Notes sur quelques Hémipteres et descriptions d'espèces nouvelles ou peu connues. Revue d'Entomologie 7:91-103	species	Rey, 1888	junior synonym			2016-05-10T12:22:00
1191519	1191519	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452263	1191510	1191503	Corizus crassicornis maculicollis	Rey. 1888. Notes sur quelques Hémipteres et descriptions d'espèces nouvelles ou peu connues. Revue d'Entomologie 7:91-103	species	Rey, 1888	junior synonym			2016-05-10T12:22:00
1191520	1191520	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452262	1191510	1191503	Stictopleurus mixtus	Ribaut. 1921. Notes sur les Hemiptères Heteroptères. Bulletin de la Société d’Histoire Naturelle de Toulouse 49(3):301-311, 30 figs	species	Ribaut, 1921	junior synonym			2016-05-10T12:22:00
1191521	1191521	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452261	1191510	1191503	Stictopleurus crassicornis immaculata	Tamanini. 1951. Gli Stictopleurus italiani (Heteroptera, Corizidae). Memorie della Società Entomologica Italiana 30:77-91, 32 figs	species	Tamanini, 1951	junior synonym			2016-05-10T12:22:00
1191522	1191522	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452260	1191510	1191503	Stictopleurus crassicornis virgata	Stichel. 1960. Illustrierte Bestimmungstabellen der Wanzen. II. Illustrierte Bestimmungstabellen der Wanzen. II. Europa. (Hemiptera  Heteroptera Europae), Stichel, Berlin-Hermsdorf 4:385-544	species	Stichel, 1960	junior synonym			2016-05-10T12:22:00
