uid	|	name	|	type	|	rank	|	
1187478	|	Bitta flavolineata osunai	|	synonym	|		|	
1187476	|	Anisoscelis gradiada	|	synonym	|		|	
1187479	|	Diactor rufus	|	synonym	|		|	
1230079	|	Anisosceles	|	synonym	|		|	
1187484	|	Anisosceles latipes	|	synonym	|		|	
1187492	|	Petalotoma unicolor	|	synonym	|		|	
1187490	|	Petalotoma	|	synonym	|		|	
1187499	|	Anisoscelis latifolia	|	synonym	|		|	
1187499	|	Diactor elegans	|	synonym	|		|	
1187502	|	Diactor bagotanus	|	synonym	|		|	
1187510	|	Cimex haemorrhous	|	synonym	|		|	
1187510	|	Lygaeus haemorrhoidalis	|	synonym	|		|	
1187510	|	Cimex 2-pustulatus	|	synonym	|		|	
1187510	|	Cimex balteatus	|	synonym	|		|	
1187510	|	Lygaeus bipustulatus	|	synonym	|		|	
1187510	|	Lygaeus baltheatus	|	synonym	|		|	
1187518	|	Hypselonotus luteiceps	|	synonym	|		|	
1187520	|	Anisoscelis flavipes	|	synonym	|		|	
1187520	|	Anisoscelis infumatus	|	synonym	|		|	
1187520	|	Leptoscelis fumata	|	synonym	|		|	
1187525	|	Leptoscelis hypselonotoides	|	synonym	|		|	
1187528	|	Leptoscelis guttata	|	synonym	|		|	
1187548	|	Leptoscelis rubropicta	|	synonym	|		|	
1187548	|	Anisoscelis fastuosus	|	synonym	|		|	
1187548	|	Phthia concinna	|	synonym	|		|	
1187548	|	Lygaeus leucostictos	|	synonym	|		|	
1187547	|	Dallacoris	|	synonym	|		|	
1187547	|	Pthia	|	synonym	|		|	
1187558	|	Copium	|	synonym	|		|	
1187558	|	Holymenia	|	synonym	|		|	
1187561	|	Copius scurra	|	synonym	|		|	
1187561	|	Cimex verticalis	|	synonym	|		|	
1187561	|	Holhymenia hystrio	|	synonym	|		|	
1187565	|	Copium guttatum	|	synonym	|		|	
1187565	|	Holhymenia latreillei	|	synonym	|		|	
1187565	|	Copius intermedius	|	synonym	|		|	
1187565	|	Lygaeus phylloceros	|	synonym	|		|	
1187565	|	Copium maculatum	|	synonym	|		|	
1187558	|	Copius	|	synonym	|		|	
1187558	|	Holligmenia	|	synonym	|		|	
1187455	|	Leptoscelidini	|	synonym	|		|	
1187590	|	Narnia pallidicornis	|	synonym	|		|	
1187455	|	Leptoscelidida	|	synonym	|		|	
1187455	|	Anisoscélites	|	synonym	|		|	
1187455	|	Anisoscélides	|	synonym	|		|	
1187455	|	Anisoscelidida	|	synonym	|		|	
1187626	|	Cimex rubrobalteatus	|	synonym	|		|	
1187626	|	Ugnius kermessinus	|	synonym	|		|	
1187632	|	Anisoscelis santarema	|	synonym	|		|	
1187634	|	Anisoscelis indocta	|	synonym	|		|	
1187634	|	Anisoscelis serrulatus	|	synonym	|		|	
1187634	|	Anisoscelis minor	|	synonym	|		|	
1187634	|	Hypselonotus scriptus	|	synonym	|		|	
1187634	|	Lygaeus modestus	|	synonym	|		|	
1187640	|	Anisoscelis vexillatus	|	synonym	|		|	
1187640	|	Theognis scriptus angustifolium	|	synonym	|		|	
1187643	|	Leptoglossus dilatiocollis	|	synonym	|		|	
1187648	|	Anisoscelis albicinctus	|	synonym	|		|	
1187648	|	Anisoscelis fraterna	|	synonym	|		|	
1187648	|	Anisoscelis confusa	|	synonym	|		|	
1187654	|	Cimex auctus	|	synonym	|		|	
1187654	|	Anisoscelis fasciatus	|	synonym	|		|	
1187654	|	Anisoscelis thoracicus	|	synonym	|		|	
1187654	|	Theognis schaefferi	|	synonym	|		|	
1187654	|	Anisoscelis selecta	|	synonym	|		|	
1187654	|	Lygaeus dimidiatus	|	synonym	|		|	
1187661	|	Theognis excellens	|	synonym	|		|	
1187663	|	Leptoglossus magnoliae	|	synonym	|		|	
1187665	|	Anisoscelis tibialis	|	synonym	|		|	
1187665	|	Lygaeus tarsatus	|	synonym	|		|	
1187687	|	Anisoscelis sexmaculata	|	synonym	|		|	
1187687	|	Theognis erythrinus	|	synonym	|		|	
1187687	|	Cimex harpator	|	synonym	|		|	
1218335	|	Leptoglossus argentinus	|	synonym	|		|	
1187707	|	Anisoscelis inconspicua	|	synonym	|		|	
1187707	|	Theognis pulcher	|	synonym	|		|	
1187707	|	Leptoglossus impressicollis	|	synonym	|		|	
1187631	|	Hypselonotus	|	synonym	|		|	
1187631	|	Theognis	|	synonym	|		|	
1187631	|	Microphyllia	|	synonym	|		|	
1187631	|	Haeckelia	|	synonym	|		|	
1187631	|	Nannophyllia	|	synonym	|		|	
1187631	|	Stalifera	|	synonym	|		|	
1187631	|	Fabrictilis	|	synonym	|		|	
